タイトル,発売日,備考
スーパーガンダムロワイヤル,2015/10/16,"アニメ/コミック, 無料"
武器よさらば,2017/3/30,"無料, プレイ人数：1人"
スーパーロボット大戦X-Ω,2015/10/5,"アニメ/コミック, ロボット, 戦争物, 無料"
FINAL FANTASY GRANDMASTERS,2015/10/1,"日本, ファイナルファンタジー, 無料, ファンタジー"
ドラゴンプロジェクト,2016/6/3,"プレイ人数：1～4人, 協力プレイ, ファンタジー, 無料, 日本"
戦の海賊,2015/8/27,"海洋, 無料"
誰ガ為のアルケミスト,2016/1/28,"ファンタジー, 戦略級, 基本プレイ無料"
デッキヒーローズ-本格派戦略カードゲーム-,2015/9/14,ファンタジー
美少女戦士セーラームーン　セーラームーンドロップス,2015/9/3,"パズル, 原作モノ, アニメ/コミック"
モンスターハンター エクスプロア,2015/9/29,"無料, プレイ人数：1～4人, 協力プレイ, 日本"
夢色キャスト,2015/9/29,"乙女ゲーム, 無料, 恋愛, 女性向け, 逢坂良太, 花江夏樹, 豊永利行, 上村祐翔, 林 勇, 小野友樹, 畠中 祐, 古川 慎, 斉藤壮馬, 鈴村健一, 山下大輝, 平川大輔, イケメン"
グリムノーツ,2016/1/21,無料
DAME×PRINCE -ダメ王子たちとのドタバタ恋愛ADV,2016/3/31,"乙女ゲーム, 女性向け, 無料, 恋愛, 石川界人, 斉藤壮馬, 木村良平, 梅原裕一郎, 武内駿輔, 竹本英史, イケメン"
かんぱにガールズ ファンタジーRPG,2015/12/14,"ファンタジー,無料"
デジモンリンクス,2016/3/24,"原作モノ, アニメ/コミック, 育成, 無料"
BFBチャンピオンズ2.0,2016/6/29,"サッカー, 無料"
フェアリーテイル 極・魔法乱舞,2015/12/4,"原作モノ, 無料"
12オーディンズ - 王道RPG,2016/1/26,"ファンタジー,無料"
ラストピリオド - 終わりなき螺旋の物語 -,2016/5/10,"ファンタジー, 無料"
聖闘士星矢 ゾディアック ブレイブ,2016/1/28,"原作モノ, 無料"
ブレイブファンタジア,2016/1/8,ファンタジー
新発売　おそ松さんのへそくりウォーズ　〜ニートの攻防〜,2016/3/3,アニメ/コミック
野球つく！！,2016/6/29,野球
VALKYRIE ANATOMIA,2016/4/28,"ファンタジー, 無料"
