タイトル,発売日,備考
スーパーガンダムロワイヤル,,
武器よさらば,,
スーパーロボット大戦X-Ω,,
FINAL FANTASY GRANDMASTERS,,
ドラゴンプロジェクト,,
戦の海賊,,
誰ガ為のアルケミスト,,
デッキヒーローズ-本格派戦略カードゲーム-,,
美少女戦士セーラームーン　セーラームーンドロップス,,
モンスターハンター エクスプロア,,
夢色キャスト,,
グリムノーツ,,
DAME×PRINCE -ダメ王子たちとのドタバタ恋愛ADV,,
かんぱにガールズ ファンタジーRPG,,
デジモンリンクス,,
BFBチャンピオンズ2.0,,
フェアリーテイル 極・魔法乱舞,,
12オーディンズ - 王道RPG,,
ラストピリオド - 終わりなき螺旋の物語 -,,
聖闘士星矢 ゾディアック ブレイブ,,
ブレイブファンタジア,,
新発売　おそ松さんのへそくりウォーズ　〜ニートの攻防〜,,
野球つく！！,,
VALKYRIE ANATOMIA,,
ONE PIECE サウザンドストーム,,
仮面ライダー バトルラッシュ,,
実況パワフルサッカー,,
スマッシュ＆マジック,,
オルタナティブガールズ,,
クックと魔法のレシピ おかわり,,
セブンズストーリー,,
HIDE AND FIRE,,
8 beat Story ~アイドル×音楽ゲーム~,,
テイルズ オブ ザ レイズ,,
NARUTO-ナルト- 疾風伝　ナルティメットブレイジング,,
ディシディアファイナルファンタジー オペラオムニア,,
ディズニー マイリトルドール,,
ハイキュー!!ドンピシャマッチ!!,,
ドールズオーダー,,
THE NEW GATE,,
スーパー戦隊レジェンドウォーズ,,
三国ブレイズ：オンライン三国志RPG,,
STAR OCEAN -anamnesis-,,
THE KING OF FIGHTERS ALLSTAR,,
ソードアート・オンライン メモリー・デフラグ,,
バンドやろうぜ！,,
銀魂 かぶき町大活劇,,
ソウルリバース ゼロ,,
モバサカ CHAMPIONS MANAGER,,
恋愛幕末カレシ～恋愛ゲーム・乙女ゲーム女性向け～,,
茜さすセカイでキミと詠う,,
キングダム セブンフラッグス,,
HIT - ヒット,,
一血卍傑-ONLINE-,,
マギアレコード 魔法少女まどかマギカ外伝,,
ファンタジーライフ オンライン,,
マジカルデイズ｜魔法パズル×青春ストーリー！,,
戦国幻武～本格軍勢バトル～,,
BRAVELY DEFAULT FAIRY'S EFFECT,,
歌マクロス スマホDeカルチャー,,
にゅ～パズ松さん 新品卒業計画,,
ドラゴンクエストライバルズ エース,,
PaniPani -パラレルニクスパンドラナイト-,,
どうぶつの森 ポケットキャンプ,,
ららマジ,,
グラフィティスマッシュ,,
ジャンプチ ヒーローズ,,
StarHorsePocket+,,
トリカゴ スクラップマーチ,,
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,,
うたのプリンスさまっ Shining Live,,
千銃士,,
プリキュア つながるぱずるん,,
幻想神域 -Link of Hearts-,,
戦刻ナイトブラッド,,
ファイトリーグ,,
ディズニー ツムツムランド,,
進撃の巨人 チェインパズルフィーバー,,
プロジェクト東京ドールズ,,
拡張少女系トライナリー,,
僕のヒーローアカデミア スマッシュタップ,,
東京喰種 ：re invoke,,
結城友奈は勇者である 花結いのきらめき,,
デスティニーチャイルド,,
TRINITY MASTER - トリマス -,,
SINoALICE ーシノアリスー,,
AKB48ステージファイター2 バトルフェスティバル,,
黒騎士と白の魔王,,
おそ松さん よくばり！ニートアイランド,,
八月のシンデレラナイン,,
ミトラスフィア -MITRASPHERE-,,
ダンまち〜メモリア・フレーゼ〜,,
きららファンタジア,,
週刊少年ジャンプ オレコレクション！,,
欅のキセキ,,
エターナルリンケージ -蒼穹のアムネシア-,,
KING OF PRISM プリズムラッシュ！LIVE,,
サーヴァント オブ スローンズ,,
恋愛プリンセス 恋愛ゲーム・乙女ゲーム女性向け,,
機動戦士ガンダム 即応戦線,,
ワールド オブ ファイナルファンタジー メリメロ,,
ヴィーナスランブル,,
ぱすてるメモリーズ～3DバトルRPG×美少女ゲー,,
勇者のくせにこなまいきだDASH!,,
オーディナル ストラータ,,
Pancy-恋活・婚活マッチングアプリ,,
仮面ライダー シティウォーズ,,
幽遊白書 100%本気バトル,,
ぷちぐるラブライブ！,,
刀使ノ巫女 刻みし一閃の燈火,,
ドラゴン騎士団,,
進撃の巨人 TACTICS,,
NARUTO X BORUTO 忍者BORUTAGE,,
ポポロクロイス物語 ～ナルシアの涙と妖精の笛,,
三極ジャスティス,,
LINE：ディズニー トイカンパニー,,
アルテイルNEO,,
スヌーピー ライフ,,
レイヤードストーリーズ ゼロ,,
OVERHIT -オーバーヒット-,,
IS＜インフィニット・ストラトス＞アーキタイプ・ブレイカー,,
GOD EATER RESONANT OPS,,
超進化物語,,
ワールドフリッパー,,
ハイスクール・フリート 艦隊バトルでピンチ！,,
AKB48ダイスキャラバン,,
KOFクロニクル,,
クロノマギア,,
モダンコンバット Versus,,
宇宙戦艦ヤマト2202 -Hero's Record-,,
23/7 トゥエンティ スリー セブン,,
バクレツモンスター,,
ときめきアイドル,,
魔界ウォーズ,,
デジモンリアライズ,,
ドラガリアロスト,,
明治東亰恋伽～ハヰカラデヱト～,,
のぶニャがの野望 ニャぷり！,,
妖怪ウォッチ ワールド,,
鬼灯の冷徹～地獄のパズルも君次第,,
LINE ブラウンストーリーズ,,
ワイルドアームズ ミリオンメモリーズ,,
ラブプラス EVERY,,
サファイア・スフィア〜蒼き境界〜,,
レジェンドオブリング,,
ラブライブ！スクールアイドルフェスティバルALL STARS,,
戦国大河 - 天下統一シミュレーション,,
爆走ドリフターズ,,
フリージング エクステンション - 学園美少女RPG,,
真・三國無双 斬,,
テラウォーズ,,
アークザラッド R,,
イドラ ファンタシースターサーガ,,
トロとパズル ~どこでもいっしょ~,,
オンエア！,,
リボルバーズエイト - リボハチ,,
ホップステップジャンパーズ,,
ワールドエンドヒーローズ,,
ArkResona -アークレゾナ-,,
シンエンレジスト,,
転生したらスライムだった件 ～魔国連邦創世記～,,
ヴァンガード ZERO,,
妖怪ウォッチ メダルウォーズ,,
ゲシュタルト・オーディン,,
少女歌劇 レヴュースタァライト -Re LIVE-,,
禍つヴァールハイト,,
真・北斗無双,,
ブラッククローバー 夢幻の騎士団,,
ユニティア神託の使徒×終焉の女神,,
プレカトゥスの天秤,,
ツムツムスタジアム,,
ケンガン ULTIMATE BATTLE,,
リンクスリングス,,
ジョジョのピタパタポップ,,
ブレイドエクスロード,,
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,,
劇的采配！プロ野球リバーサル,,
FAITH - フェイス,,
シティダンク,,
〈物語〉シリーズ ぷくぷく,,
Readyyy!,,
グリムエコーズ,,
DarkAvenger X - ダークアベンジャー クロス,,
ドラゴンネストM,,
蒼天のスカイガレオン,,
東京コンセプション,,
でみめん,,
ラストイデア,,
デビルブック,,
ディズニー ミュージックパレード,,
アイチュウ ÉtoileStage,,
この素晴らしい世界に祝福を！ファンタスティックデイズ,,
重装出陣,,
星鳴エコーズ,,
ドクターマリオ ワールド,,
ウルトラ怪獣バトルブリーダーズ,,
Witch's Weapon-魔女兵器-,,
なむあみだ仏っ！-蓮台 UTENA-,,
メリーガーランド　美少女 放置 RPG,,
HUNTER×HUNTER アリーナバトル,,
最果てのバベル,,
LINE：ピクサー タワー ～おかいものパズル～,,
暁のブレイカーズ  ～アクション・バトル～,,
荒野のコトブキ飛行隊  大空のテイクオフガールズ！,,
ミイラの飼い方 パズルで育てる不思議な生き物-comico-,,
キックフライト,,
メガミラクルフォース,,
とある魔術の禁書目録 幻想収束,,
ラクガキキングダム -あなたの未来を描く育成RPG-,,
MARVEL Super War,,
機動都市X：スーパーメカシティ,,
乙女神楽 〜ザンビへの鎮魂歌〜,,
アカツキランド,,
名探偵コナンランナー,,
ガンビット,,
テイルズ オブ クレストリア,,
戦国BASARA バトルパーティー,,
社長、バトルの時間です！,,
カラーピーソウト,,
ゼノンザード,,
ハリー・ポッター： 魔法同盟,,
ポケモンスクランブルSP,,
リーグ・オブ・ワンダーランド,,
revisions next stage,,
ユージェネ,,
装甲娘,,
快感フレーズ CLIMAX,,
牧場婚活,,
Project NOAH - プロジェクト・ノア -,,
ガンダムブレイカーモバイル,,
三国志大戦M：超本格戦略型カードRPG,,
TERA ORIGIN,,
カードキャプターさくら ハピネスメモリーズ,,
ドラゴン＆コロニーズ,,
MU：奇蹟の覚醒,,
"ダンキラ!!! - Boys, be DANCING! -",,
プロ野球 ファミスタ マスターオーナーズ,,
ONE PIECE ボン！ボン！ジャーニー!!,,
HiGH＆LOW THE GAME,,
ロストディケイド,,
スヌーピー パズルジャーニー,,
ラピスリライツ 〜この世界のアイドルは魔法が使える〜,,
聖闘士星矢 シャイニングソルジャーズ,,
凍京NECRO SUICIDE MISSION,,
ブラックホライズン -Black Horizon-,,
Alice Closet,,
RANBU 三国志乱舞,,
THE KING OF FIGHTERS for GIRLS,,
CODE：SEED -星火ノ唄-,,
CUE! -See You Everyday-,,
Exos Heroes,,
LINE：ドラえもんパーク,,
かくりよの門-朧-,,
ソードアート・オンライン アリシゼーション・ブレイディング,,
魔王と100人のお姫様,,
三国志ヒーローズ,,
ロンドン迷宮譚 ： 本格ミステリー×アイテム探しゲーム,,
東方キャノンボール,,
モンスターハンター ライダーズ,,
アークオーダー,,
ルミナスフォレスト〜選ばれし三人の勇者たち,,
アクション対魔忍,,
レッド：プライドオブエデン,,
防振り ～らいんうぉーず！～,,
蒼藍の誓い - ブルーオース,,
SHOW BY ROCK!! Fes A Live,,
ウインドボーイズ！,,
TRAHA,,
NARUTO X BORUTO 忍者TRIBES,,
戦姫ストライク,,
アルゴナビス from BanG Dream! AAside,,
アニマル フロンティア,,
ユートピア・ゲート～双子の女神と未来へのつばさ～,,
ビッグバッドモンスターズ,,
22/7 音楽の時間,,
マジカミ,,
エコーズ オブ パンドラ,,
幻想神域2 -AURA KINGDOM-,,
ひぐらしのなく頃に 命,,
V4,2020/09/24,
終末のアーカーシャ,,
アイコイノート,,
ステラクロニクル,,
NieR Recarnation,,
Re：ゼロから始める異世界生活 リゼロス,,
アンノウンブライド,,
ガールズシンフォニー：Ec 〜新世界少女組曲〜,,
食物語,,
メガミヒストリア,,
ルミア サガ-ちび萌え自由大冒険,,
ブラック・サージナイト,,
フィーバーダンク,,
HoneyWorks Premium Live,,
ガール・カフェ・ガン！,,
サクラ革命 ～華咲く乙女たち～,,
金色のコルダ スターライトオーケストラ,,
グリザイア クロノスリベリオン,,
夢境ワールド~元素使いの大冒険~,,
ワールドウィッチーズ UNITED FRONT,,
テラクラシック,,
咲う アルスノトリア,,
LINE 超大富豪,,
A.I.M.$,,
ロックマンX DiVE,,
スタースマッシュ,,
おねがい、俺を現実に戻さないで！ シンフォニアステージ,,
乱闘三国志～放置群英伝～,,
英雄*戦姫WW,,
ファンタジア・リビルド,,
アニマエ・アルケー,,
ブレイブ フロンティア レゾナ,,
ディープインサニティ アサイラム,,
FFVII THE FIRST SOLDIER,,
オルタンシア・サーガR,,
アイドルマスター ポップリンクス,,
BLUE REFLECTION SUN/燦,,
ドラゴンクエスト ダイの大冒険　-魂の絆-,,
ゲートオブナイトメア,,
三国志群雄 本格三国RPG,,
Apex Legends Mobile,,
フィギュアストーリー,,
蒼空ファンタジー,,
SHAMAN KING ふんばりクロニクル,,
BLAZBLUE ALTERNATIVE DARKWAR,,
ヴェルヴェットコード -Velvet Code-,,
コードギアス Genesic Re;CODE,,
無職転生 ～ゲームになっても本気だす～,,
フットサルボーイズ!!!!! ハイファイリーグ,,
キングダムDASH!!,,
sin 七つの大罪 X-TASY,,
にょろっこオンラインゲーム,,
魔法科高校の劣等生 リローデッド・メモリ,,
デッドバイデイライト・モバイル - NetEase,,
シン・クロニクル,,
マナシスリフレイン,,
エクリプスサーガ,,
月光彫刻師,,
恋愛戦国ロマネスク 女性向け人気恋愛ゲーム,,
プラオレ！～SMILE PRINCESS～,,
テイルズウィーバー ： SecondRun,,
彼女、お借りします ヒロインオールスターズ,,
アイドルマスター SideM GROWING STARS,,
シドニアの騎士 掌位ノ絆,,
D_CIDE TRAUMEREI ディーサイドトロイメライ,,
ドラゴンクエストけしケシ！,,
遊戯王クロスデュエル,,
聖剣伝説 ECHOES of MANA,,
AKB48 WORLD,,
夢職人と忘れじの黒い妖精,,
アーテリーギア-機動戦姫-,,
EXtreme LIVES,,
EXTASY VISUAL SHOCK,,
テイルズ オブ ルミナリア,,
機動戦士ガンダム 鉄血のオルフェンズG,,
ブレイブリーデフォルト ブリリアントライツ,,
メモリア  夢の旅人と双子の案内人,,
クローバーシアター,,
404 GAME RE：SET -エラーゲームリセット-,,
ミラクルマッチ,,
鋼の錬金術師 MOBILE,,
テクノロイド ユニゾンハート,,
エターナルツリー,,
からかい上手の高木さん キュンキュンレコーズ,,
エンゲージ・キル,,
＆0,,
タワーオブスカイ,,
アストラル・ミラージュ -幻城の姫君-,,
真・三國無双 M,,
クローズ×WORST - XROSS OVER -,,
アスタータタリクス,,
＃コンパス ライブアリーナ,,
ミステリーレコード｜協力×謎解きの脱出アドベンチャーゲーム,,
ユアマジェスティ,,
ダチメン伝説G　転生ヤンキーギルドバトルRPG,,
アルゴナビス -キミが見たステージへ-,,
マブラヴ：ディメンションズ,,
ゴールドラッシュバトラー,,
BLACK STELLA PTOLOMEA,,
takt op. 運命は真紅き旋律の街を,,
ネバーアフター～逆転メルヘン～,,
ラブライブ！スクールアイドルフェスティバル2,,
トワツガイ,,
かみながしじま 〜輪廻の巫女〜,,
キュービックスターズ ギリギリ直感シューティングゲーム,,
機兵とドラゴン,,
GGGGG　協力・対戦アクションゲーム,,
太鼓の達人 RHYTHM CONNECT,,
金色のガッシュベル！！ 永遠の絆の仲間たち,,
エレメンタルストーリーワールド,,
モルガナティック・アイドル 乙女ゲーム・恋愛ゲーム,,
廻らぬ星のステラリウム,,
タップハンター～剣と魔法の放置RPG～,,
青山オペレッタ,,
