タイトル,発売日
スーパーガンダムロワイヤル,2015/10/16
武器よさらば,2017/3/30
スーパーロボット大戦X-Ω,2015/10/5
FINAL FANTASY GRANDMASTERS,2015/10/1
ドラゴンプロジェクト,2016/6/3
戦の海賊,2015/8/27
誰ガ為のアルケミスト,2016/1/28
デッキヒーローズ-本格派戦略カードゲーム-,2015/9/14
美少女戦士セーラームーン　セーラームーンドロップス,2015/9/3
モンスターハンター エクスプロア,2015/9/29
夢色キャスト,2024/9/29
グリムノーツ,2016/1/21
DAME×PRINCE -ダメ王子たちとのドタバタ恋愛ADV,2016/3/31
かんぱにガールズ ファンタジーRPG,2015/12/14
デジモンリンクス,2016/3/24
BFBチャンピオンズ2.0,2016/6/29
フェアリーテイル 極・魔法乱舞,2015/12/4
12オーディンズ - 王道RPG,2016/1/26
ラストピリオド - 終わりなき螺旋の物語 -,2016/5/10
聖闘士星矢 ゾディアック ブレイブ,2016/1/28
ブレイブファンタジア,2016/1/8
新発売　おそ松さんのへそくりウォーズ　〜ニートの攻防〜,2016/3/3
野球つく！！,2016/6/29
VALKYRIE ANATOMIA,2016/4/28
ONE PIECE サウザンドストーム,2016/4/21
仮面ライダー バトルラッシュ,2016/7/25
実況パワフルサッカー,2016/12/7
スマッシュ＆マジック,2017/7/19
オルタナティブガールズ,2016/7/20
クックと魔法のレシピ おかわり,2017/7/6
セブンズストーリー,2017/8/18
HIDE AND FIRE,2016/9/26
8 beat Story ~アイドル×音楽ゲーム~,2016/5/13
テイルズ オブ ザ レイズ,2017/2/28
NARUTO-ナルト- 疾風伝　ナルティメットブレイジング,2016/7/14
ディシディアファイナルファンタジー オペラオムニア,2017/2/1
ディズニー マイリトルドール,2016/9/1
ハイキュー!!ドンピシャマッチ!!,2016/8/5
ドールズオーダー,2018/3/28
THE NEW GATE,2016/10/4
スーパー戦隊レジェンドウォーズ,2016/9/6
三国ブレイズ：オンライン三国志RPG,2016/10/20
STAR OCEAN -anamnesis-,2016/12/7
THE KING OF FIGHTERS ALLSTAR,2018/7/26
ソードアート・オンライン メモリー・デフラグ,2016/8/29
バンドやろうぜ！,2016/10/12
銀魂 かぶき町大活劇,2016/9/15
ソウルリバース ゼロ,2016/11/21
モバサカ CHAMPIONS MANAGER,2017/9/7
恋愛幕末カレシ～恋愛ゲーム・乙女ゲーム女性向け～,2017/3/14
茜さすセカイでキミと詠う,2017/4/20
キングダム セブンフラッグス,2016/10/24
HIT - ヒット,2025/6/26
一血卍傑-ONLINE-,2016/11/24
マギアレコード 魔法少女まどかマギカ外伝,2017/8/22
ファンタジーライフ オンライン,2018/7/23
マジカルデイズ｜魔法パズル×青春ストーリー！,2016/12/7
戦国幻武～本格軍勢バトル～,2017/6/7
BRAVELY DEFAULT FAIRY'S EFFECT,2017/3/23
歌マクロス スマホDeカルチャー,2017/8/3
にゅ～パズ松さん 新品卒業計画,2019/12/5
ドラゴンクエストライバルズ エース,2017/11/2
PaniPani -パラレルニクスパンドラナイト-,2017/9/28
どうぶつの森 ポケットキャンプ,2017/11/21
ららマジ,2017/1/25
グラフィティスマッシュ,2017/10/25
ジャンプチ ヒーローズ,2018/3/28
StarHorsePocket+,2017/1/27
トリカゴ スクラップマーチ,2019/4/25
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2017/2/20
うたのプリンスさまっ Shining Live,2017/8/28
千銃士,2019/6/10
プリキュア つながるぱずるん,2017/3/16
幻想神域 -Link of Hearts-,2017/4/20
戦刻ナイトブラッド,2017/5/29
ファイトリーグ,2017/6/22
ディズニー ツムツムランド,2017/10/31
進撃の巨人 チェインパズルフィーバー,2017/8/3
プロジェクト東京ドールズ,2017/6/22
拡張少女系トライナリー,2017/4/12
僕のヒーローアカデミア スマッシュタップ,2017/4/18
東京喰種 ：re invoke,2017/3/13
結城友奈は勇者である 花結いのきらめき,2017/6/8
デスティニーチャイルド,2017/11/24
TRINITY MASTER - トリマス -,2018/3/8
SINoALICE ーシノアリスー,2017/6/6
AKB48ステージファイター2 バトルフェスティバル,2017/10/11
黒騎士と白の魔王,2017/4/26
おそ松さん よくばり！ニートアイランド,2017/9/19
八月のシンデレラナイン,2017/6/27
ミトラスフィア -MITRASPHERE-,2017/8/7
ダンまち〜メモリア・フレーゼ〜,2017/6/19
きららファンタジア,2017/12/11
週刊少年ジャンプ オレコレクション！,2017/7/6
欅のキセキ,2017/10/18
エターナルリンケージ -蒼穹のアムネシア-,2017/11/21
KING OF PRISM プリズムラッシュ！LIVE,2017/8/10
サーヴァント オブ スローンズ,2018/1/24
恋愛プリンセス 恋愛ゲーム・乙女ゲーム女性向け,2017/11/20
機動戦士ガンダム 即応戦線,2018/2/7
ワールド オブ ファイナルファンタジー メリメロ,2017/12/12
ヴィーナスランブル,2017/8/31
ぱすてるメモリーズ～3DバトルRPG×美少女ゲー,2017/10/23
勇者のくせにこなまいきだDASH!,2018/2/14
オーディナル ストラータ,2018/1/9
Pancy-恋活・婚活マッチングアプリ,2017/10/10
仮面ライダー シティウォーズ,2017/10/25
幽遊白書 100%本気バトル,2018/8/28
ぷちぐるラブライブ！,2018/4/24
刀使ノ巫女 刻みし一閃の燈火,2018/3/19
ドラゴン騎士団,2018/4/24
進撃の巨人 TACTICS,2019/4/18
NARUTO X BORUTO 忍者BORUTAGE,2017/11/15
ポポロクロイス物語 ～ナルシアの涙と妖精の笛,2018/5/8
三極ジャスティス,2018/6/1
