タイトル,発売日
スーパーガンダムロワイヤル,2015/10/16
武器よさらば,2017/03/30
スーパーロボット大戦X-Ω,2015/10/05
FINAL FANTASY GRANDMASTERS,2015/10/01
ドラゴンプロジェクト,2016/06/03
戦の海賊,2015/08/27
誰ガ為のアルケミスト,2016/01/28
デッキヒーローズ-本格派戦略カードゲーム-,
美少女戦士セーラームーン　セーラームーンドロップス,2015/09/03
モンスターハンター エクスプロア,2015/09/29
夢色キャスト,2024/09/29
グリムノーツ,2016/01/21
DAME×PRINCE -ダメ王子たちとのドタバタ恋愛ADV,2016/03/31
かんぱにガールズ ファンタジーRPG,
デジモンリンクス,2016/03/24
BFBチャンピオンズ2.0,2016/06/29
フェアリーテイル 極・魔法乱舞,2015/12/04
12オーディンズ - 王道RPG,
ラストピリオド - 終わりなき螺旋の物語 -,2016/05/10
聖闘士星矢 ゾディアック ブレイブ,2016/01/28
ブレイブファンタジア,2016/01/08
新発売　おそ松さんのへそくりウォーズ　〜ニートの攻防〜,
野球つく！！,2016/06/29
VALKYRIE ANATOMIA,2016/04/28
ONE PIECE サウザンドストーム,2016/04/21
仮面ライダー バトルラッシュ,2016/07/25
実況パワフルサッカー,2016/12/07
スマッシュ＆マジック,2017/07/19
オルタナティブガールズ,2016/07/20
クックと魔法のレシピ おかわり,2017/07/06
セブンズストーリー,2017/08/18
HIDE AND FIRE,2016/09/26
8 beat Story ~アイドル×音楽ゲーム~,
テイルズ オブ ザ レイズ,2017/02/28
NARUTO-ナルト- 疾風伝　ナルティメットブレイジング,2016/07/14
ディシディアファイナルファンタジー オペラオムニア,2017/02/01
ディズニー マイリトルドール,2016/09/01
ハイキュー!!ドンピシャマッチ!!,2016/08/05
ドールズオーダー,2018/03/28
THE NEW GATE,未定
スーパー戦隊レジェンドウォーズ,2016/09/06
三国ブレイズ：オンライン三国志RPG,
STAR OCEAN -anamnesis-,
THE KING OF FIGHTERS ALLSTAR,2018/07/26
ソードアート・オンライン メモリー・デフラグ,2016/08/29
バンドやろうぜ！,2016/10/12
銀魂 かぶき町大活劇,2016/09/15
ソウルリバース ゼロ,
モバサカ CHAMPIONS MANAGER,-
恋愛幕末カレシ～恋愛ゲーム・乙女ゲーム女性向け～,
茜さすセカイでキミと詠う,2017/04/20
キングダム セブンフラッグス,2016/10/24
HIT - ヒット,2025/06/26
一血卍傑-ONLINE-,2016/11/24
マギアレコード 魔法少女まどかマギカ外伝,
ファンタジーライフ オンライン,2018/07/23
マジカルデイズ｜魔法パズル×青春ストーリー！,
戦国幻武～本格軍勢バトル～,2017/06/07
BRAVELY DEFAULT FAIRY'S EFFECT,2017/03/23
歌マクロス スマホDeカルチャー,2017/08/03
にゅ～パズ松さん 新品卒業計画,2019/12/05
ドラゴンクエストライバルズ エース,2019/02/14
PaniPani -パラレルニクスパンドラナイト-,2017/09/28
どうぶつの森 ポケットキャンプ,2017/11/21
ららマジ,2017/01/25
グラフィティスマッシュ,2017/10/25
ジャンプチ ヒーローズ,2018/03/28
StarHorsePocket+,2017/01/27
トリカゴ スクラップマーチ,2019/04/25
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,2017/02/20
うたのプリンスさまっ Shining Live,
千銃士,2019/06/10
プリキュア つながるぱずるん,2017/03/16
幻想神域 -Link of Hearts-,
戦刻ナイトブラッド,2017/05/29
ファイトリーグ,2017/06/22
ディズニー ツムツムランド,2017/10/31
進撃の巨人 チェインパズルフィーバー,2017/08/03
プロジェクト東京ドールズ,2017/06/22
拡張少女系トライナリー,2017/04/12
僕のヒーローアカデミア スマッシュタップ,2017/04/18
東京喰種 ：re invoke,2017/03/13
結城友奈は勇者である 花結いのきらめき,2017/06/08
デスティニーチャイルド,2017/11/24
TRINITY MASTER - トリマス -,2018/03/08
SINoALICE ーシノアリスー,
AKB48ステージファイター2 バトルフェスティバル,-
黒騎士と白の魔王,2017/04/26
おそ松さん よくばり！ニートアイランド,2017/09/19
八月のシンデレラナイン,2017/06/27
ミトラスフィア -MITRASPHERE-,2017/08/07
