タイトル,年月,サービス終了日,売上予測（円）
スーパーガンダムロワイヤル,2018/12,2021/07/29,248000000
スーパーガンダムロワイヤル,2018/11,2021/07/29,251000000
スーパーガンダムロワイヤル,2018/10,2021/07/29,263000000
スーパーガンダムロワイヤル,2018/09,2021/07/29,190000000
スーパーガンダムロワイヤル,2018/08,2021/07/29,198000000
スーパーガンダムロワイヤル,2018/07,2021/07/29,273000000
スーパーガンダムロワイヤル,2018/06,2021/07/29,223000000
スーパーガンダムロワイヤル,2018/05,2021/07/29,265000000
スーパーガンダムロワイヤル,2018/04,2021/07/29,318000000
スーパーガンダムロワイヤル,2018/03,2021/07/29,283000000
スーパーガンダムロワイヤル,2018/02,2021/07/29,252000000
スーパーガンダムロワイヤル,2018/01,2021/07/29,403000000
スーパーガンダムロワイヤル,2019/12,2021/07/29,117000000
スーパーガンダムロワイヤル,2019/11,2021/07/29,178000000
スーパーガンダムロワイヤル,2019/10,2021/07/29,180000000
スーパーガンダムロワイヤル,2019/09,2021/07/29,169000000
スーパーガンダムロワイヤル,2019/08,2021/07/29,201000000
スーパーガンダムロワイヤル,2019/07,2021/07/29,217000000
スーパーガンダムロワイヤル,2019/06,2021/07/29,187000000
スーパーガンダムロワイヤル,2019/05,2021/07/29,234000000
スーパーガンダムロワイヤル,2019/04,2021/07/29,233000000
スーパーガンダムロワイヤル,2019/03,2021/07/29,219000000
スーパーガンダムロワイヤル,2019/02,2021/07/29,201000000
スーパーガンダムロワイヤル,2019/01,2021/07/29,317000000
スーパーガンダムロワイヤル,2020/12,2021/07/29,102000000
スーパーガンダムロワイヤル,2020/11,2021/07/29,91190000
スーパーガンダムロワイヤル,2020/10,2021/07/29,115000000
スーパーガンダムロワイヤル,2020/09,2021/07/29,92660000
スーパーガンダムロワイヤル,2020/08,2021/07/29,96290000
スーパーガンダムロワイヤル,2020/07,2021/07/29,87520000
スーパーガンダムロワイヤル,2020/06,2021/07/29,96720000
スーパーガンダムロワイヤル,2020/05,2021/07/29,87820000
スーパーガンダムロワイヤル,2020/04,2021/07/29,90130000
スーパーガンダムロワイヤル,2020/03,2021/07/29,126000000
スーパーガンダムロワイヤル,2020/02,2021/07/29,113000000
スーパーガンダムロワイヤル,2020/01,2021/07/29,162000000
スーパーガンダムロワイヤル,2021/06,2021/07/29,770000
スーパーガンダムロワイヤル,2021/05,2021/07/29,127000000
スーパーガンダムロワイヤル,2021/04,2021/07/29,112000000
スーパーガンダムロワイヤル,2021/03,2021/07/29,124000000
スーパーガンダムロワイヤル,2021/02,2021/07/29,91210000
スーパーガンダムロワイヤル,2021/01,2021/07/29,138000000
武器よさらば,2018/08,2019/03/25,5290000
武器よさらば,2018/07,2019/03/25,13190000
武器よさらば,2018/06,2019/03/25,3770000
武器よさらば,2018/05,2019/03/25,6110000
武器よさらば,2018/04,2019/03/25,16540000
武器よさらば,2018/03,2019/03/25,22040000
武器よさらば,2018/02,2019/03/25,15760000
スーパーロボット大戦X-Ω,2018/12,2021/03/30,184000000
スーパーロボット大戦X-Ω,2018/11,2021/03/30,175000000
スーパーロボット大戦X-Ω,2018/10,2021/03/30,203000000
スーパーロボット大戦X-Ω,2018/09,2021/03/30,132000000
スーパーロボット大戦X-Ω,2018/08,2021/03/30,166000000
スーパーロボット大戦X-Ω,2018/07,2021/03/30,173000000
スーパーロボット大戦X-Ω,2018/06,2021/03/30,140000000
スーパーロボット大戦X-Ω,2018/05,2021/03/30,166000000
スーパーロボット大戦X-Ω,2018/04,2021/03/30,172000000
スーパーロボット大戦X-Ω,2018/03,2021/03/30,248000000
スーパーロボット大戦X-Ω,2018/02,2021/03/30,154000000
スーパーロボット大戦X-Ω,2018/01,2021/03/30,158000000
スーパーロボット大戦X-Ω,2019/12,2021/03/30,89360000
スーパーロボット大戦X-Ω,2019/11,2021/03/30,109000000
スーパーロボット大戦X-Ω,2019/10,2021/03/30,183000000
スーパーロボット大戦X-Ω,2019/09,2021/03/30,116000000
スーパーロボット大戦X-Ω,2019/08,2021/03/30,149000000
スーパーロボット大戦X-Ω,2019/07,2021/03/30,152000000
スーパーロボット大戦X-Ω,2019/06,2021/03/30,175000000
スーパーロボット大戦X-Ω,2019/05,2021/03/30,115000000
スーパーロボット大戦X-Ω,2019/04,2021/03/30,106000000
スーパーロボット大戦X-Ω,2019/03,2021/03/30,167000000
スーパーロボット大戦X-Ω,2019/02,2021/03/30,128000000
スーパーロボット大戦X-Ω,2019/01,2021/03/30,141000000
スーパーロボット大戦X-Ω,2020/12,2021/03/30,42370000
スーパーロボット大戦X-Ω,2020/11,2021/03/30,68660000
スーパーロボット大戦X-Ω,2020/10,2021/03/30,101000000
スーパーロボット大戦X-Ω,2020/09,2021/03/30,61890000
スーパーロボット大戦X-Ω,2020/08,2021/03/30,49580000
スーパーロボット大戦X-Ω,2020/07,2021/03/30,73020000
スーパーロボット大戦X-Ω,2020/06,2021/03/30,82690000
スーパーロボット大戦X-Ω,2020/05,2021/03/30,59380000
スーパーロボット大戦X-Ω,2020/04,2021/03/30,79960000
スーパーロボット大戦X-Ω,2020/03,2021/03/30,85270000
スーパーロボット大戦X-Ω,2020/02,2021/03/30,111000000
スーパーロボット大戦X-Ω,2020/01,2021/03/30,79640000
スーパーロボット大戦X-Ω,2021/01,2021/03/30,67040000
FINAL FANTASY GRANDMASTERS,2018/12,2019/04/25,49360000
FINAL FANTASY GRANDMASTERS,2018/11,2019/04/25,29820000
FINAL FANTASY GRANDMASTERS,2018/10,2019/04/25,36030000
FINAL FANTASY GRANDMASTERS,2018/09,2019/04/25,39470000
FINAL FANTASY GRANDMASTERS,2018/08,2019/04/25,45370000
FINAL FANTASY GRANDMASTERS,2018/07,2019/04/25,41530000
FINAL FANTASY GRANDMASTERS,2018/06,2019/04/25,24880000
FINAL FANTASY GRANDMASTERS,2018/05,2019/04/25,58230000
FINAL FANTASY GRANDMASTERS,2018/04,2019/04/25,14650000
FINAL FANTASY GRANDMASTERS,2018/03,2019/04/25,6200000
FINAL FANTASY GRANDMASTERS,2018/02,2019/04/25,31990000
FINAL FANTASY GRANDMASTERS,2018/01,2019/04/25,54770000
FINAL FANTASY GRANDMASTERS,2019/02,2019/04/25,13340000
FINAL FANTASY GRANDMASTERS,2019/01,2019/04/25,30660000
ドラゴンプロジェクト,2018/12,2019/06/27,112000000
ドラゴンプロジェクト,2018/11,2019/06/27,115000000
ドラゴンプロジェクト,2018/10,2019/06/27,101000000
ドラゴンプロジェクト,2018/09,2019/06/27,106000000
ドラゴンプロジェクト,2018/08,2019/06/27,121000000
ドラゴンプロジェクト,2018/07,2019/06/27,136000000
ドラゴンプロジェクト,2018/06,2019/06/27,198000000
ドラゴンプロジェクト,2018/05,2019/06/27,171000000
ドラゴンプロジェクト,2018/04,2019/06/27,192000000
ドラゴンプロジェクト,2018/03,2019/06/27,189000000
ドラゴンプロジェクト,2018/02,2019/06/27,147000000
ドラゴンプロジェクト,2018/01,2019/06/27,193000000
ドラゴンプロジェクト,2019/04,2019/06/27,7080000
ドラゴンプロジェクト,2019/03,2019/06/27,139000000
ドラゴンプロジェクト,2019/02,2019/06/27,60860000
ドラゴンプロジェクト,2019/01,2019/06/27,123000000
戦の海賊,2018/12,2022/03/31,8280000
戦の海賊,2018/11,2022/03/31,15140000
戦の海賊,2018/10,2022/03/31,16980000
戦の海賊,2018/09,2022/03/31,23300000
戦の海賊,2018/08,2022/03/31,17190000
戦の海賊,2018/07,2022/03/31,20360000
戦の海賊,2018/06,2022/03/31,19600000
戦の海賊,2018/05,2022/03/31,38010000
戦の海賊,2018/04,2022/03/31,30860000
戦の海賊,2018/03,2022/03/31,26290000
戦の海賊,2018/02,2022/03/31,27560000
戦の海賊,2018/01,2022/03/31,16950000
戦の海賊,2019/12,2022/03/31,12460000
戦の海賊,2019/11,2022/03/31,8450000
戦の海賊,2019/10,2022/03/31,13160000
戦の海賊,2019/09,2022/03/31,23920000
戦の海賊,2019/08,2022/03/31,27580000
戦の海賊,2019/07,2022/03/31,8290000
戦の海賊,2019/06,2022/03/31,12670000
戦の海賊,2019/05,2022/03/31,1830000
戦の海賊,2019/04,2022/03/31,2300000
戦の海賊,2019/03,2022/03/31,8300000
戦の海賊,2019/02,2022/03/31,11770000
戦の海賊,2019/01,2022/03/31,18910000
戦の海賊,2020/12,2022/03/31,5890000
戦の海賊,2020/11,2022/03/31,6210000
戦の海賊,2020/10,2022/03/31,7670000
戦の海賊,2020/09,2022/03/31,7790000
戦の海賊,2020/08,2022/03/31,13260000
戦の海賊,2020/07,2022/03/31,7380000
戦の海賊,2020/06,2022/03/31,12800000
戦の海賊,2020/05,2022/03/31,13320000
戦の海賊,2020/04,2022/03/31,11180000
戦の海賊,2020/03,2022/03/31,10960000
戦の海賊,2020/02,2022/03/31,6800000
戦の海賊,2020/01,2022/03/31,7390000
戦の海賊,2021/12,2022/03/31,23700000
戦の海賊,2021/11,2022/03/31,19030000
戦の海賊,2021/10,2022/03/31,25530000
戦の海賊,2021/09,2022/03/31,11090000
戦の海賊,2021/08,2022/03/31,11240000
戦の海賊,2021/07,2022/03/31,5080000
戦の海賊,2021/06,2022/03/31,7540000
戦の海賊,2021/05,2022/03/31,3960000
戦の海賊,2021/04,2022/03/31,8900000
戦の海賊,2021/03,2022/03/31,3690000
戦の海賊,2021/02,2022/03/31,8630000
戦の海賊,2021/01,2022/03/31,8550000
戦の海賊,2022/01,2022/03/31,26590000
誰ガ為のアルケミスト,2018/12,2024/11/29,175000000
誰ガ為のアルケミスト,2018/11,2024/11/29,222000000
誰ガ為のアルケミスト,2018/10,2024/11/29,234000000
誰ガ為のアルケミスト,2018/09,2024/11/29,291000000
誰ガ為のアルケミスト,2018/08,2024/11/29,206000000
誰ガ為のアルケミスト,2018/07,2024/11/29,256000000
誰ガ為のアルケミスト,2018/06,2024/11/29,268000000
誰ガ為のアルケミスト,2018/05,2024/11/29,326000000
誰ガ為のアルケミスト,2018/04,2024/11/29,257000000
誰ガ為のアルケミスト,2018/03,2024/11/29,260000000
誰ガ為のアルケミスト,2018/02,2024/11/29,372000000
誰ガ為のアルケミスト,2018/01,2024/11/29,429000000
誰ガ為のアルケミスト,2019/12,2024/11/29,164000000
誰ガ為のアルケミスト,2019/11,2024/11/29,184000000
誰ガ為のアルケミスト,2019/10,2024/11/29,311000000
誰ガ為のアルケミスト,2019/09,2024/11/29,187000000
誰ガ為のアルケミスト,2019/08,2024/11/29,208000000
誰ガ為のアルケミスト,2019/07,2024/11/29,229000000
誰ガ為のアルケミスト,2019/06,2024/11/29,388000000
誰ガ為のアルケミスト,2019/05,2024/11/29,239000000
誰ガ為のアルケミスト,2019/04,2024/11/29,227000000
誰ガ為のアルケミスト,2019/03,2024/11/29,271000000
誰ガ為のアルケミスト,2019/02,2024/11/29,307000000
誰ガ為のアルケミスト,2019/01,2024/11/29,313000000
誰ガ為のアルケミスト,2020/12,2024/11/29,134000000
誰ガ為のアルケミスト,2020/11,2024/11/29,125000000
誰ガ為のアルケミスト,2020/10,2024/11/29,196000000
誰ガ為のアルケミスト,2020/09,2024/11/29,149000000
誰ガ為のアルケミスト,2020/08,2024/11/29,142000000
誰ガ為のアルケミスト,2020/07,2024/11/29,138000000
誰ガ為のアルケミスト,2020/06,2024/11/29,177000000
誰ガ為のアルケミスト,2020/05,2024/11/29,177000000
誰ガ為のアルケミスト,2020/04,2024/11/29,183000000
誰ガ為のアルケミスト,2020/03,2024/11/29,186000000
誰ガ為のアルケミスト,2020/02,2024/11/29,307000000
誰ガ為のアルケミスト,2020/01,2024/11/29,240000000
誰ガ為のアルケミスト,2021/12,2024/11/29,108000000
誰ガ為のアルケミスト,2021/11,2024/11/29,82010000
誰ガ為のアルケミスト,2021/10,2024/11/29,100000000
誰ガ為のアルケミスト,2021/09,2024/11/29,130000000
誰ガ為のアルケミスト,2021/08,2024/11/29,146000000
誰ガ為のアルケミスト,2021/07,2024/11/29,129000000
誰ガ為のアルケミスト,2021/06,2024/11/29,150000000
誰ガ為のアルケミスト,2021/05,2024/11/29,163000000
誰ガ為のアルケミスト,2021/04,2024/11/29,136000000
誰ガ為のアルケミスト,2021/03,2024/11/29,160000000
誰ガ為のアルケミスト,2021/02,2024/11/29,253000000
誰ガ為のアルケミスト,2021/01,2024/11/29,140000000
誰ガ為のアルケミスト,2022/12,2024/11/29,59730000
誰ガ為のアルケミスト,2022/11,2024/11/29,80610000
誰ガ為のアルケミスト,2022/10,2024/11/29,96480000
誰ガ為のアルケミスト,2022/09,2024/11/29,96030000
誰ガ為のアルケミスト,2022/08,2024/11/29,89150000
誰ガ為のアルケミスト,2022/07,2024/11/29,107000000
誰ガ為のアルケミスト,2022/06,2024/11/29,105000000
誰ガ為のアルケミスト,2022/05,2024/11/29,138000000
誰ガ為のアルケミスト,2022/04,2024/11/29,109000000
誰ガ為のアルケミスト,2022/03,2024/11/29,134000000
誰ガ為のアルケミスト,2022/02,2024/11/29,208000000
誰ガ為のアルケミスト,2022/01,2024/11/29,191000000
誰ガ為のアルケミスト,2023/12,2024/11/29,41410000
誰ガ為のアルケミスト,2023/11,2024/11/29,48540000
誰ガ為のアルケミスト,2023/10,2024/11/29,55550000
誰ガ為のアルケミスト,2023/09,2024/11/29,43350000
誰ガ為のアルケミスト,2023/08,2024/11/29,80220000
誰ガ為のアルケミスト,2023/07,2024/11/29,66100000
誰ガ為のアルケミスト,2023/06,2024/11/29,46950000
誰ガ為のアルケミスト,2023/05,2024/11/29,73430000
誰ガ為のアルケミスト,2023/04,2024/11/29,50510000
誰ガ為のアルケミスト,2023/03,2024/11/29,68030000
誰ガ為のアルケミスト,2023/02,2024/11/29,130000000
誰ガ為のアルケミスト,2023/01,2024/11/29,138000000
誰ガ為のアルケミスト,2024/09,2024/11/29,40410000
誰ガ為のアルケミスト,2024/08,2024/11/29,51150000
誰ガ為のアルケミスト,2024/07,2024/11/29,61180000
誰ガ為のアルケミスト,2024/06,2024/11/29,42070000
誰ガ為のアルケミスト,2024/05,2024/11/29,45700000
誰ガ為のアルケミスト,2024/04,2024/11/29,58200000
誰ガ為のアルケミスト,2024/03,2024/11/29,46030000
誰ガ為のアルケミスト,2024/02,2024/11/29,96330000
