タイトル,年月,売上予測,関連ジャンル,サービス終了日
スーパーガンダムロワイヤル,2018/12,2.48億G,,2021-07-29
スーパーガンダムロワイヤル,2018/11,2.51億G,,2021-07-29
スーパーガンダムロワイヤル,2018/10,2.63億G,,2021-07-29
スーパーガンダムロワイヤル,2018/09,1.90億G,,2021-07-29
スーパーガンダムロワイヤル,2018/08,1.98億G,,2021-07-29
スーパーガンダムロワイヤル,2018/07,2.73億G,,2021-07-29
スーパーガンダムロワイヤル,2018/06,2.23億G,,2021-07-29
スーパーガンダムロワイヤル,2018/05,2.65億G,,2021-07-29
スーパーガンダムロワイヤル,2018/04,3.18億G,,2021-07-29
スーパーガンダムロワイヤル,2018/03,2.83億G,,2021-07-29
スーパーガンダムロワイヤル,2018/02,2.52億G,,2021-07-29
スーパーガンダムロワイヤル,2018/01,4.03億G,,2021-07-29
スーパーガンダムロワイヤル,2019/12,1.17億G,,2021-07-29
スーパーガンダムロワイヤル,2019/11,1.78億G,,2021-07-29
スーパーガンダムロワイヤル,2019/10,1.80億G,,2021-07-29
スーパーガンダムロワイヤル,2019/09,1.69億G,,2021-07-29
スーパーガンダムロワイヤル,2019/08,2.01億G,,2021-07-29
スーパーガンダムロワイヤル,2019/07,2.17億G,,2021-07-29
スーパーガンダムロワイヤル,2019/06,1.87億G,,2021-07-29
スーパーガンダムロワイヤル,2019/05,2.34億G,,2021-07-29
スーパーガンダムロワイヤル,2019/04,2.33億G,,2021-07-29
スーパーガンダムロワイヤル,2019/03,2.19億G,,2021-07-29
スーパーガンダムロワイヤル,2019/02,2.01億G,,2021-07-29
スーパーガンダムロワイヤル,2019/01,3.17億G,,2021-07-29
スーパーガンダムロワイヤル,2020/12,1.02億G,,2021-07-29
スーパーガンダムロワイヤル,2020/11,"9,119万G",,2021-07-29
スーパーガンダムロワイヤル,2020/10,1.15億G,,2021-07-29
スーパーガンダムロワイヤル,2020/09,"9,266万G",,2021-07-29
スーパーガンダムロワイヤル,2020/08,"9,629万G",,2021-07-29
スーパーガンダムロワイヤル,2020/07,"8,752万G",,2021-07-29
