タイトル,年月,発売日,サービス終了日,売上予測（円）,備考
スーパーガンダムロワイヤル,Dec-18,2015/10/16,2021/7/29,248000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Nov-18,2015/10/16,2021/7/29,251000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Oct-18,2015/10/16,2021/7/29,263000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Sep-18,2015/10/16,2021/7/29,190000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Aug-18,2015/10/16,2021/7/29,198000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Jul-18,2015/10/16,2021/7/29,273000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Jun-18,2015/10/16,2021/7/29,223000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,May-18,2015/10/16,2021/7/29,265000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Apr-18,2015/10/16,2021/7/29,318000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Mar-18,2015/10/16,2021/7/29,283000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Feb-18,2015/10/16,2021/7/29,252000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Jan-18,2015/10/16,2021/7/29,403000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Dec-19,2015/10/16,2021/7/29,117000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Nov-19,2015/10/16,2021/7/29,178000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Oct-19,2015/10/16,2021/7/29,180000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Sep-19,2015/10/16,2021/7/29,169000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Aug-19,2015/10/16,2021/7/29,201000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Jul-19,2015/10/16,2021/7/29,217000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Jun-19,2015/10/16,2021/7/29,187000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,May-19,2015/10/16,2021/7/29,234000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Apr-19,2015/10/16,2021/7/29,233000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Mar-19,2015/10/16,2021/7/29,219000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Feb-19,2015/10/16,2021/7/29,201000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Jan-19,2015/10/16,2021/7/29,317000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Dec-20,2015/10/16,2021/7/29,102000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Nov-20,2015/10/16,2021/7/29,91190000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Oct-20,2015/10/16,2021/7/29,115000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Sep-20,2015/10/16,2021/7/29,92660000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Aug-20,2015/10/16,2021/7/29,96290000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Jul-20,2015/10/16,2021/7/29,87520000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Jun-20,2015/10/16,2021/7/29,96720000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,May-20,2015/10/16,2021/7/29,87820000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Apr-20,2015/10/16,2021/7/29,90130000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Mar-20,2015/10/16,2021/7/29,126000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Feb-20,2015/10/16,2021/7/29,113000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Jan-20,2015/10/16,2021/7/29,162000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Jun-21,2015/10/16,2021/7/29,770000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,May-21,2015/10/16,2021/7/29,127000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Apr-21,2015/10/16,2021/7/29,112000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Mar-21,2015/10/16,2021/7/29,124000000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Feb-21,2015/10/16,2021/7/29,91210000,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,Jan-21,2015/10/16,2021/7/29,138000000,"アニメ/コミック, 無料"
武器よさらば,Aug-18,2017/3/30,2019/3/25,5290000,"無料, プレイ人数：1人"
武器よさらば,Jul-18,2017/3/30,2019/3/25,13190000,"無料, プレイ人数：1人"
武器よさらば,Jun-18,2017/3/30,2019/3/25,3770000,"無料, プレイ人数：1人"
武器よさらば,May-18,2017/3/30,2019/3/25,6110000,"無料, プレイ人数：1人"
武器よさらば,Apr-18,2017/3/30,2019/3/25,16540000,"無料, プレイ人数：1人"
武器よさらば,Mar-18,2017/3/30,2019/3/25,22040000,"無料, プレイ人数：1人"
武器よさらば,Feb-18,2017/3/30,2019/3/25,15760000,"無料, プレイ人数：1人"
スーパーロボット大戦X-Ω,Dec-18,2015/10/5,2021/3/30,184000000,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,Nov-18,2015/10/5,2021/3/30,175000000,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,Oct-18,2015/10/5,2021/3/30,203000000,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,Sep-18,2015/10/5,2021/3/30,132000000,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,Aug-18,2015/10/5,2021/3/30,166000000,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,Jul-18,2015/10/5,2021/3/30,173000000,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,Jun-18,2015/10/5,2021/3/30,140000000,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,May-18,2015/10/5,2021/3/30,166000000,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,Apr-18,2015/10/5,2021/3/30,172000000,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,Mar-18,2015/10/5,2021/3/30,248000000,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,Feb-18,2015/10/5,2021/3/30,154000000,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,Jan-18,2015/10/5,2021/3/30,158000000,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,Dec-19,2015/10/5,2021/3/30,89360000,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,Nov-19,2015/10/5,2021/3/30,109000000,"アニメ/コミック, ロボット, 戦争物, 無料"
スーパーロボット大戦X-Ω,Oct-19,2015/10/5,2021/3/30,183000000,"アニメ/コミック, ロボット, 戦争物, 無料"
