タイトル,年月,売上予測（円）,サービス開始日,サービス終了日,備考
スーパーガンダムロワイヤル,2018/12,248000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/11,251000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/10,263000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/09,190000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/08,198000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/07,273000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/06,223000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/05,265000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/04,318000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/03,283000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/02,252000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2018/01,403000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/12,117000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/11,178000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/10,180000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/09,169000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/08,201000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/07,217000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/06,187000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/05,234000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/04,233000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/03,219000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/02,201000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2019/01,317000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2020/12,102000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2020/11,91190000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2020/10,115000000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2020/09,92660000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2020/08,96290000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2020/07,87520000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
スーパーガンダムロワイヤル,2020/06,96720000,2015/10/16,2021/07/29,"アニメ/コミック, 無料"
