年月,タイトル,売上予測（円）,サービス開始日,サービス終了日,備考
2016-01-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2016-02-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2016-03-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2016-04-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2016-05-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2016-06-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2016-07-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2016-08-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2016-09-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2016-10-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2016-11-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2016-12-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2017-01-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2017-02-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2017-03-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2017-04-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2017-05-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2017-06-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2017-07-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2017-08-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2017-09-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2017-10-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2017-11-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2017-12-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2018-01-01,12オーディンズ - 王道RPG,12850000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2018-02-01,12オーディンズ - 王道RPG,3280000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2018-03-01,12オーディンズ - 王道RPG,1700000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2018-04-01,12オーディンズ - 王道RPG,1930000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2018-05-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2018-06-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2018-07-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2018-08-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2018-09-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2018-10-01,12オーディンズ - 王道RPG,4940000.0,2016-01-26,2018-10-31,"ファンタジー,無料"
2020-05-01,22/7 音楽の時間,21460000.0,2020-05-27,2021-12-22,"育成, 原作モノ, 無料"
2020-06-01,22/7 音楽の時間,63040000.0,2020-05-27,2021-12-22,"育成, 原作モノ, 無料"
2020-07-01,22/7 音楽の時間,61310000.0,2020-05-27,2021-12-22,"育成, 原作モノ, 無料"
2020-08-01,22/7 音楽の時間,102000000.0,2020-05-27,2021-12-22,"育成, 原作モノ, 無料"
2020-09-01,22/7 音楽の時間,32740000.0,2020-05-27,2021-12-22,"育成, 原作モノ, 無料"
2020-10-01,22/7 音楽の時間,23920000.0,2020-05-27,2021-12-22,"育成, 原作モノ, 無料"
2020-11-01,22/7 音楽の時間,34670000.0,2020-05-27,2021-12-22,"育成, 原作モノ, 無料"
2020-12-01,22/7 音楽の時間,35740000.0,2020-05-27,2021-12-22,"育成, 原作モノ, 無料"
2021-01-01,22/7 音楽の時間,31710000.0,2020-05-27,2021-12-22,"育成, 原作モノ, 無料"
2021-02-01,22/7 音楽の時間,18490000.0,2020-05-27,2021-12-22,"育成, 原作モノ, 無料"
2021-03-01,22/7 音楽の時間,13580000.0,2020-05-27,2021-12-22,"育成, 原作モノ, 無料"
2021-04-01,22/7 音楽の時間,17300000.0,2020-05-27,2021-12-22,"育成, 原作モノ, 無料"
2021-05-01,22/7 音楽の時間,15280000.0,2020-05-27,2021-12-22,"育成, 原作モノ, 無料"
2021-06-01,22/7 音楽の時間,28670000.0,2020-05-27,2021-12-22,"育成, 原作モノ, 無料"
2021-07-01,22/7 音楽の時間,22450000.0,2020-05-27,2021-12-22,"育成, 原作モノ, 無料"
2021-08-01,22/7 音楽の時間,11550000.0,2020-05-27,2021-12-22,"育成, 原作モノ, 無料"
2021-09-01,22/7 音楽の時間,33369375.0,2020-05-27,2021-12-22,"育成, 原作モノ, 無料"
2021-10-01,22/7 音楽の時間,33369375.0,2020-05-27,2021-12-22,"育成, 原作モノ, 無料"
2021-11-01,22/7 音楽の時間,33369375.0,2020-05-27,2021-12-22,"育成, 原作モノ, 無料"
2021-12-01,22/7 音楽の時間,33369375.0,2020-05-27,2021-12-22,"育成, 原作モノ, 無料"
