カード名/商品名,買取価格
ギフトパック(未開封パック),"¥350,000"
クイックスターター ギフトパック(未開封パック),"¥200,000"
ロケット団 ギフトパック(未開封パック),"¥170,000"
第1弾 スターターパック(未開封パック),"¥160,000"
劇場限定VSパック(未開封パック),"¥150,000"
ポケモンカードゲームLEGEND パーフェクトセット(未開封パック),"¥150,000"
第1弾 リーダーズポケモン 水炎ハーフデッキ(未開封パック),"¥140,000"
さいはての攻防(未開封パック),"¥140,000"
ロケット団の逆襲(未開封パック),"¥120,000"
金の空、銀の海(未開封パック),"¥120,000"
拡張パック第4弾 闇、そして光へ…(未開封パック),"¥110,000"
蒼空の激突(未開封パック),"¥100,000"
ハートゴールドコレクション スペシャルパック(未開封パック),"¥100,000"
ソウルシルバーコレクション スペシャルパック(未開封パック),"¥100,000"
まぼろしの森(未開封パック),"¥95,000"
ホロンの幻影(未開封パック),"¥95,000"
神秘なる山(未開封パック),"¥90,000"
ロケット団ハーフデッキW -silver-(未開封パック),"¥90,000"
(ショートパック)拡張パック第2弾 ポケモンジャングル(未開封パック),"¥85,000"
海からの風(未開封パック),"¥80,000"
ギフトボックス(未開封パック),"¥80,000"
ホロンの研究塔(未開封パック),"¥80,000"
きせきの結晶(未開封パック),"¥80,000"
ワールドチャンピオンズパック(未開封パック),"¥80,000"
裂けた大地(未開封パック),"¥77,000"
20th Anniversary スペシャルパック 「MヤドランEX+なみのりピカチュウ」(未開封パック),"¥75,000"
第1弾 スターターパック(未開封パック),"¥70,000"
拡張パック第3弾 めざめる伝説(未開封パック),"¥70,000"
イントロパックneo(未開封パック),"¥70,000"
第1弾 リーダーズポケモン 闘超ハーフデッキ(未開封パック),"¥70,000"
映画公開記念VSパック『裂空のデオキシス』(未開封パック),"¥70,000"
地図にない町(未開封パック),"¥67,000"
月光の追跡・夜明けの疾走スペシャルパック(未開封パック),"¥58,000"
拡張パック第4弾 ロケット団(未開封パック),"¥55,000"
第1弾 リーダーズポケモン 草雷ハーフデッキ(未開封パック),"¥55,000"
拡張パック第4弾 とかれた封印(未開封パック),"¥55,000"
ロケット団ハーフデッキW -black-(未開封パック),"¥55,000"
拡張パック第3弾 天空の覇者(未開封パック),"¥54,000"
秘境の叫び・怒りの神殿スペシャルパック(未開封パック),"¥52,000"
伝説の飛翔(未開封パック),"¥50,000"
拡張パック第1弾(未開封パック),"¥45,000"
拡張パック第1弾(未開封パック),"¥45,000"
リザードン★炎(未開封パック),"¥45,000"
コンセプトパック第3弾 ポケキュンコレクション(未開封パック),"¥45,000"
拡張パック第2弾よみがえる伝説(未開封パック),"¥42,000"
ポケモンジム第3弾 ナツメ(未開封パック),"¥40,000"
ポケモンジム第3弾 カツラ(未開封パック),"¥40,000"
イントロパック(未開封パック),"¥40,000"
ポケモンカードe基本拡張パック(未開封パック),"¥40,000"
スターターパック(未開封パック),"¥40,000"
拡張パック第1弾(未開封パック),"¥40,000"
ポケモンカードゲーム ピカチュウ ワールド(PW)セブンイレブン・ポケモンセンターオリジナルバージョン(未開封パック),"¥40,000"
はじめてセットDX ピカチュウVer.(未開封パック),"¥40,000"
マクドナルドオリジナル ミニマム★パック(未開封パック),"¥38,000"
拡張パック第1弾 ソウルシルバーコレクション (未開封パック),"¥38,000"
ポケモンジム第1弾 カスミ(未開封パック),"¥35,000"
ポケモンジム第2弾 マチス(未開封パック),"¥35,000"
ポケモンカード★web(未開封パック),"¥35,000"
マグマ団ハーフデッキW(未開封パック),"¥35,000"
アクア団ハーフデッキW(未開封パック),"¥35,000"
ランダムベーシックパック(未開封パック),"¥35,000"
ポケモンカードゲーム ピカチュウ ワールド(PW)(未開封パック),"¥35,000"
ハートゴールドコレクション オリジナルカレンダーセット(7月カレンダー付き)(未開封パック),"¥35,000"
ポケモンジム第2弾 エリカ(未開封パック),"¥33,000"
拡張パック第3弾 頂上大激突(未開封パック),"¥33,000"
拡張パック第2弾 遺跡をこえて…(未開封パック),"¥32,000"
レックウザデッキ(未開封パック),"¥32,000"
拡張パック第2弾 ポケモンジャングル(未開封パック),"¥30,000"
拡張パック第1弾 金、銀、新世界へ…(未開封パック),"¥30,000"
強化拡張パックex1 マグマVSアクア ふたつの野望(未開封パック),"¥30,000"
タイプユニット水(未開封パック),"¥30,000"
