パック名,買取価格
ポケモンカードゲームLEGEND パーフェクトセット(未開封パック),"¥150,000"
拡張パック『さいはての攻防』,"¥140,000"
拡張パック｢ロケット団の逆襲｣,"¥120,000"
拡張パック『金の空、銀の海』,"¥120,000"
拡張パック 第4弾『闇、そして光へ...』,"¥110,000"
拡張パック『ホロンの研究塔』,"¥110,000"
拡張パック『蒼空の激突』,"¥100,000"
拡張パック『まぼろしの森』,"¥95,000"
拡張パック『ホロンの幻影(かげ)』,"¥95,000"
拡張パック『きせきの結晶』,"¥95,000"
拡張パック 第5弾『神秘なる山』,"¥90,000"
(ショートパック)拡張パック第2弾 ポケモンジャングル(未開封パック),"¥85,000"
拡張パック 第3弾『海からの風』,"¥85,000"
ギフトボックス(未開封パック),"¥80,000"
ワールドチャンピオンズパック(未開封パック),"¥80,000"
拡張パック 第4弾『裂けた大地』,"¥77,000"
拡張パック 第3弾『めざめる伝説』,"¥70,000"
イントロパックneo(未開封パック),"¥70,000"
拡張パック 第2弾『地図にない町』,"¥67,000"
第4弾 拡張パック『ロケット団』,"¥55,000"
第4弾拡張パック『とかれた封印』,"¥55,000"
第3弾 拡張パック『天空の覇者』,"¥54,000"
拡張パック『伝説の飛翔』,"¥50,000"
第1弾 拡張パック,"¥45,000"
第1弾拡張パック,"¥45,000"
リザードン★炎(未開封パック),"¥45,000"
コンセプトパック『ポケキュンコレクション』,"¥45,000"
拡張パック『よみがえる伝説』,"¥42,000"
ポケモンジム第3弾 ナツメ(未開封パック),"¥40,000"
ポケモンジム第3弾 カツラ(未開封パック),"¥40,000"
イントロパック(未開封パック),"¥40,000"
第1弾 基本拡張パック,"¥40,000"
拡張パック第1弾(未開封パック),"¥40,000"
ポケモンカードゲーム ピカチュウ ワールド(PW)セブンイレブン・ポケモンセンターオリジナルバージョン(未開封パック),"¥40,000"
はじめてセットDX ピカチュウVer.(未開封パック),"¥40,000"
マクドナルドオリジナル ミニマム★パック(未開封パック),"¥38,000"
拡張パック『ソウルシルバーコレクション』,"¥36,000"
ポケモンジム第1弾 カスミ(未開封パック),"¥35,000"
