"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2025-05-01","1,079.70","969.80","1,104.60","957.00","609.28K","11.38%"
"2025-04-01","969.40","1,024.70","1,026.00","885.00","45.76K","-5.21%"
"2025-03-01","1,022.70","966.10","1,035.10","966.10","0.98K","8.33%"
"2025-02-01","944.10","1,045.10","1,063.80","944.10","476.88K","-9.54%"
"2025-01-01","1,043.70","910.50","1,045.60","909.90","83.36K","14.63%"
"2024-12-01","910.50","961.10","975.40","907.40","233.64K","-4.57%"
"2024-11-01","954.10","996.60","1,010.40","926.50","50.41K","-4.55%"
"2024-10-01","999.60","998.50","1,064.60","955.90","60.73K","0.86%"
"2024-09-01","991.10","941.50","1,030.60","912.50","233.47K","6.32%"
"2024-08-01","932.20","984.50","985.10","911.80","38.18K","-5.49%"
"2024-07-01","986.40","1,047.60","1,047.60","930.90","41.59K","-2.73%"
"2024-06-01","1,014.10","1,055.90","1,066.60","959.70","211.71K","-3.78%"
"2024-05-01","1,053.90","957.00","1,116.40","955.00","35.63K","9.78%"
"2024-04-01","960.00","922.70","1,020.50","905.00","659.80K","4.22%"
"2024-03-01","921.10","891.90","967.00","879.80","211.29K","3.17%"
"2024-02-01","892.80","936.50","941.00","882.70","30.74K","-5.06%"
"2024-01-01","940.40","1,006.60","1,015.10","883.20","457.45K","-6.82%"
"2023-12-01","1,009.20","943.70","1,031.00","897.50","186.35K","7.03%"
"2023-11-01","942.90","948.30","960.90","850.40","22.51K","-0.87%"
"2023-10-01","951.20","916.20","957.50","856.80","422.40K","3.85%"
"2023-09-01","915.90","984.00","1,000.00","894.10","203.27K","-6.66%"
"2023-08-01","981.20","968.20","999.00","890.00","17.76K","1.62%"
"2023-07-01","965.60","910.20","1,003.70","899.00","312.53K","5.74%"
"2023-06-01","913.20","1,004.00","1,056.30","894.20","182.92K","-9.12%"
"2023-05-01","1,004.80","1,094.10","1,140.20","1,003.90","18.04K","-8.29%"
"2023-04-01","1,095.60","1,001.00","1,148.90","987.10","328.17K","9.22%"
"2023-03-01","1,003.10","960.40","1,014.60","936.80","158.53K","4.32%"
"2023-02-01","961.60","1,024.70","1,050.10","910.00","20.42K","-6.40%"
"2023-01-01","1,027.40","1,086.90","1,117.00","1,004.10","347.05K","-5.13%"
"2022-12-01","1,082.90","1,050.40","1,087.60","975.40","172.19K","4.10%"
"2022-11-01","1,040.20","933.10","1,066.50","910.50","19.80K","12.15%"
"2022-10-01","927.50","856.80","974.10","856.20","378.50K","7.96%"
"2022-09-01","859.10","828.20","934.30","801.20","151.79K","3.31%"
"2022-08-01","831.60","888.80","975.50","827.00","15.56K","-6.73%"
"2022-07-01","891.60","884.60","900.40","806.70","276.59K","-0.41%"
"2022-06-01","895.30","963.10","1,039.00","879.20","154.20K","-7.63%"
"2022-05-01","969.30","937.30","992.00","910.00","14.65K","3.06%"
"2022-04-01","940.50","987.10","1,026.40","895.40","285.11K","-5.55%"
"2022-03-01","995.80","1,045.90","1,190.00","982.10","127.92K","-4.23%"
"2022-02-01","1,039.80","1,019.70","1,098.20","1,005.10","20.63K","1.95%"
"2022-01-01","1,019.90","968.70","1,064.60","919.50","321.86K","5.56%"
"2021-12-01","966.20","933.80","989.90","886.10","115.35K","3.98%"
"2021-11-01","929.20","1,020.30","1,113.40","924.70","17.13K","-9.05%"
"2021-10-01","1,021.70","962.00","1,080.80","939.10","271.00K","6.16%"
"2021-09-01","962.40","1,013.60","1,028.50","892.90","127.73K","-5.36%"
"2021-08-01","1,016.90","1,050.00","1,068.00","956.80","11.78K","-3.29%"
"2021-07-01","1,051.50","1,071.60","1,141.20","1,035.70","256.01K","-1.99%"
"2021-06-01","1,072.90","1,188.20","1,214.20","1,026.00","124.73K","-9.58%"
"2021-05-01","1,186.60","1,207.00","1,281.20","1,165.90","10.89K","-1.83%"
"2021-04-01","1,208.70","1,191.40","1,261.80","1,155.60","238.97K","1.44%"
"2021-03-01","1,191.50","1,186.40","1,244.00","1,115.20","121.49K","0.18%"
"2021-02-01","1,189.30","1,098.00","1,351.20","1,088.00","14.22K","9.77%"
"2021-01-01","1,083.40","1,081.00","1,163.40","1,011.00","249.49K","0.39%"
"2020-12-01","1,079.20","974.60","1,096.50","932.30","121.68K","11.20%"
"2020-11-01","970.50","851.10","987.80","843.10","12.35K","13.85%"
"2020-10-01","852.40","900.50","924.10","841.70","240.15K","-6.25%"
"2020-09-01","909.20","947.60","996.00","829.20","103.10K","-4.03%"
"2020-08-01","947.40","927.00","1,036.20","911.60","13.14K","2.40%"
"2020-07-01","925.20","853.70","1,002.00","821.00","275.04K","8.69%"
"2020-06-01","851.20","877.60","909.40","798.00","77.84K","-2.70%"
"2020-05-01","874.80","796.30","931.80","758.60","13.13K","7.92%"
"2020-04-01","810.60","721.90","838.20","701.20","185.91K","11.06%"
"2020-03-01","729.90","859.80","919.00","556.00","141.34K","-16.09%"
"2020-02-01","869.90","972.00","1,026.00","855.30","16.74K","-10.03%"
"2020-01-01","966.90","972.00","1,046.70","952.50","418.49K","-1.11%"
"2019-12-01","977.80","902.70","990.70","892.50","164.47K","7.92%"
"2019-11-01","906.00","942.90","964.00","874.00","10.65K","-3.57%"
"2019-10-01","939.50","888.70","948.50","875.60","362.78K","5.66%"
"2019-09-01","889.20","942.50","1,006.10","880.20","193.08K","-5.09%"
"2019-08-01","936.90","872.20","949.00","840.20","14.04K","6.00%"
"2019-07-01","883.90","839.60","891.40","808.30","403.83K","5.09%"
"2019-06-01","841.10","799.00","844.90","795.50","191.15K","5.19%"
"2019-05-01","799.60","896.90","896.90","793.70","11.72K","-10.89%"
"2019-04-01","897.30","853.50","920.40","847.80","363.84K","5.06%"
"2019-03-01","854.10","877.60","881.90","814.80","155.41K","-2.92%"
"2019-02-01","879.80","829.70","884.90","786.20","7.89K","6.00%"
"2019-01-01","830.00","801.40","836.50","787.90","325.07K","3.67%"
"2018-12-01","800.60","806.50","821.40","785.00","125.75K","-0.52%"
"2018-11-01","804.80","852.60","885.50","804.20","9.20K","-5.02%"
"2018-10-01","847.30","819.00","854.50","811.40","348.67K","3.03%"
"2018-09-01","822.40","791.60","841.80","768.90","158.51K","4.05%"
"2018-08-01","790.40","845.20","847.20","759.40","10.82K","-6.99%"
"2018-07-01","849.80","856.70","862.10","794.50","360.30K","-0.92%"
"2018-06-01","857.70","911.00","918.90","846.40","160.20K","-6.26%"
"2018-05-01","915.00","910.10","935.00","882.70","10.93K","0.64%"
"2018-04-01","909.20","936.10","957.40","907.80","383.96K","-2.51%"
"2018-03-01","932.60","991.30","991.30","931.90","135.58K","-6.09%"
"2018-02-01","993.10","1,013.10","1,021.00","965.00","8.06K","-1.59%"
"2018-01-01","1,009.10","936.40","1,033.30","934.50","390.36K","7.55%"
"2017-12-01","938.30","946.60","950.40","877.00","138.99K","-0.88%"
"2017-11-01","946.60","927.40","961.70","922.60","10.95K","2.46%"
"2017-10-01","923.90","914.40","950.90","906.50","313.54K","0.92%"
"2017-09-01","915.50","1,004.40","1,029.50","914.40","163.29K","-8.58%"
"2017-08-01","1,001.40","946.70","1,006.40","945.50","9.35K","6.13%"
"2017-07-01","943.60","928.80","949.10","891.40","285.77K","1.86%"
"2017-06-01","926.40","953.00","972.50","911.60","130.24K","-2.83%"
"2017-05-01","953.40","951.50","964.90","898.80","9.46K","0.14%"
"2017-04-01","952.10","952.00","993.00","938.40","246.19K","-0.03%"
"2017-03-01","952.40","1,028.50","1,033.30","936.20","116.87K","-7.92%"
"2017-02-01","1,034.30","1,002.90","1,050.40","993.00","12.00K","3.45%"
"2017-01-01","999.80","906.00","1,008.70","903.60","311.70K","10.39%"
"2016-12-01","905.70","916.10","956.10","893.00","114.27K","-0.83%"
"2016-11-01","913.30","984.30","1,026.40","907.80","11.68K","-7.02%"
"2016-10-01","982.30","1,032.90","1,036.00","927.20","268.92K","-5.05%"
"2016-09-01","1,034.50","1,057.80","1,113.00","1,013.90","114.42K","-2.05%"
"2016-08-01","1,056.10","1,155.30","1,200.40","1,054.20","12.05K","-8.38%"
"2016-07-01","1,152.70","1,027.40","1,165.30","1,026.20","247.74K","12.54%"
"2016-06-01","1,024.30","983.00","1,033.50","957.10","116.90K","4.32%"
"2016-05-01","981.90","1,079.20","1,090.90","969.30","9.94K","-9.08%"
"2016-04-01","1,080.00","979.50","1,082.60","938.10","216.13K","10.49%"
"2016-03-01","977.50","938.10","1,010.30","934.10","98.02K","4.58%"
"2016-02-01","934.70","871.30","968.80","853.70","4.91K","6.80%"
"2016-01-01","875.20","892.00","899.10","811.40","251.28K","-2.02%"
"2015-12-01","893.20","836.90","896.60","826.90","106.69K","7.14%"
"2015-11-01","833.70","985.20","985.20","827.00","12.26K","-15.75%"
"2015-10-01","989.60","908.50","1,026.80","893.40","257.61K","8.85%"
"2015-09-01","909.10","1,008.90","1,024.00","899.60","157.17K","-10.08%"
"2015-08-01","1,011.00","981.90","1,039.00","947.20","7.94K","2.51%"
"2015-07-01","986.20","1,081.70","1,091.10","946.30","232.37K","-8.64%"
"2015-06-01","1,079.50","1,113.60","1,122.10","1,060.20","128.73K","-3.00%"
"2015-05-01","1,112.90","1,143.00","1,181.00","1,111.60","6.34K","-2.55%"
"2015-04-01","1,142.00","1,142.70","1,188.20","1,117.60","190.21K","-0.12%"
"2015-03-01","1,143.40","1,185.70","1,197.10","1,088.80","108.36K","-3.69%"
"2015-02-01","1,187.20","1,240.00","1,258.50","1,158.40","3.21K","-4.21%"
"2015-01-01","1,239.40","1,209.50","1,290.30","1,187.70","209.93K","2.47%"
"2014-12-01","1,209.50","1,211.50","1,257.70","1,176.30","110.98K","-0.29%"
"2014-11-01","1,213.00","1,236.50","1,245.90","1,179.00","7.00K","-1.89%"
"2014-10-01","1,236.40","1,291.60","1,306.60","1,186.50","239.74K","-4.93%"
"2014-09-01","1,300.50","1,425.90","1,429.30","1,296.50","102.94K","-8.84%"
"2014-08-01","1,426.60","1,465.30","1,486.80","1,416.20","3.92K","-2.71%"
"2014-07-01","1,466.40","1,490.10","1,523.80","1,465.00","187.82K","-1.11%"
"2014-06-01","1,482.90","1,452.00","1,492.10","1,422.60","94.17K","2.04%"
"2014-05-01","1,453.30","1,451.60","1,493.70","1,430.50","0.92K","1.55%"
"2014-04-01","1,431.10","1,417.30","1,470.20","1,392.30","1.87K","0.61%"
"2014-03-01","1,422.40","1,457.00","1,488.40","1,395.20","19.20K","-1.88%"
"2014-02-01","1,449.60","1,391.60","1,455.90","1,385.00","0.58K","5.03%"
"2014-01-01","1,380.20","1,391.00","1,472.30","1,391.00","1.79K","0.25%"
"2013-12-01","1,376.70","1,360.90","1,399.80","1,318.40","1.00K","0.15%"
"2013-11-01","1,374.70","1,475.60","1,475.60","1,358.50","0.52K","-5.38%"
"2013-10-01","1,452.90","1,403.00","1,475.10","1,364.30","4.42K","2.56%"
"2013-09-01","1,416.60","1,530.20","1,544.30","1,407.00","0.53K","-7.56%"
"2013-08-01","1,532.40","1,449.60","1,553.90","1,449.60","0.47K","6.93%"
"2013-07-01","1,433.10","1,340.00","1,464.50","1,314.90","3.63K","6.79%"
"2013-06-01","1,342.00","1,480.20","1,538.70","1,300.50","19.84K","-8.58%"
"2013-05-01","1,467.90","1,481.00","1,514.00","1,448.30","0.81K","-2.88%"
"2013-04-01","1,511.40","1,575.90","1,604.10","1,378.00","3.38K","-4.15%"
"2013-03-01","1,576.90","1,585.50","1,610.50","1,562.10","17.35K","-0.72%"
"2013-02-01","1,588.30","1,704.60","1,741.00","1,588.00","0.26K","-5.44%"
"2013-01-01","1,679.70","1,549.00","1,706.70","1,548.00","2.75K","8.67%"
"2012-12-01","1,545.70","1,611.50","1,646.80","1,524.40","0.87K","-4.02%"
"2012-11-01","1,610.50","1,582.50","1,623.70","1,548.00","0.27K","2.56%"
"2012-10-01","1,570.30","1,656.65","1,734.45","1,531.15","","-5.20%"
"2012-09-01","1,656.45","1,539.75","1,716.30","1,538.00","","7.55%"
"2012-08-01","1,540.15","1,410.15","1,563.30","1,383.70","","9.19%"
"2012-07-01","1,410.50","1,449.35","1,493.50","1,380.50","","-2.68%"
"2012-06-01","1,449.35","1,485.40","1,487.30","1,385.40","","3.03%"
"2012-05-01","1,406.75","1,574.55","1,578.75","1,387.20","","-10.61%"
"2012-04-01","1,573.80","1,645.20","1,670.80","1,543.15","","-4.22%"
"2012-03-01","1,643.15","1,677.55","1,714.75","1,604.15","","-2.10%"
"2012-02-01","1,678.35","1,594.05","1,738.85","1,589.60","","5.31%"
"2012-01-01","1,593.75","1,403.25","1,632.80","1,393.30","","13.58%"
"2011-12-01","1,403.25","1,564.65","1,574.80","1,348.05","","-10.30%"
"2011-11-01","1,564.40","1,601.30","1,676.60","1,513.25","","-2.28%"
"2011-10-01","1,600.95","1,530.05","1,662.10","1,435.10","","4.80%"
"2011-09-01","1,527.60","1,849.95","1,899.90","1,474.55","","-17.42%"
"2011-08-01","1,849.75","1,784.75","1,918.35","1,682.25","","3.62%"
"2011-07-01","1,785.15","1,723.95","1,822.85","1,702.90","","3.57%"
"2011-06-01","1,723.55","1,828.65","1,849.50","1,668.85","","-5.68%"
"2011-05-01","1,827.25","1,882.00","1,890.15","1,742.70","","-2.55%"
"2011-04-01","1,875.05","1,773.30","1,881.90","1,756.00","","5.61%"
"2011-03-01","1,775.45","1,812.05","1,865.20","1,659.55","","-2.01%"
"2011-02-01","1,811.85","1,795.55","1,869.15","1,770.85","","0.87%"
"2011-01-01","1,796.15","1,779.60","1,851.20","1,710.75","","1.20%"
"2010-12-01","1,774.80","1,659.50","1,780.95","1,658.35","","6.93%"
"2010-11-01","1,659.70","1,713.90","1,811.75","1,628.30","","-3.17%"
"2010-10-01","1,713.95","1,660.70","1,729.80","1,648.15","","3.21%"
"2010-09-01","1,660.65","1,525.20","1,668.20","1,518.35","","8.90%"
"2010-08-01","1,524.95","1,575.55","1,607.25","1,491.20","","-3.21%"
"2010-07-01","1,575.55","1,535.55","1,578.60","1,468.05","","2.60%"
"2010-06-01","1,535.60","1,564.70","1,618.10","1,492.35","","-1.87%"
"2010-05-01","1,564.80","1,733.00","1,753.25","1,446.00","","-10.24%"
"2010-04-01","1,743.30","1,648.60","1,759.35","1,646.00","","5.66%"
"2010-03-01","1,649.85","1,545.80","1,655.30","1,541.80","","6.79%"
"2010-02-01","1,544.95","1,505.00","1,593.95","1,451.40","","2.86%"
