カード名/商品名,買取価格
ハイクラスパック『GXバトルブースト』(未開封BOX),"¥500,000"
裂空のカリスマ(ポケモンセンター限定セット)(未開封BOX),"¥450,000"
強化拡張パック『新たなる試練の向こう』(未開封BOX),"¥300,000"
タッグボルト(ポケモンセンター限定セット)(未開封BOX),"¥230,000"
強化拡張パック『ひかる伝説』(未開封BOX),"¥170,000"
拡張パック『アローラの月光』(未開封BOX),"¥130,000"
拡張パック『裂空のカリスマ』(未開封BOX),"¥130,000"
禁断の光(ポケモンセンター限定セット)(未開封BOX),"¥130,000"
拡張パック『光を喰らう闇』(未開封BOX),"¥110,000"
超爆インパクト(ポケモンセンター限定セット)(未開封BOX),"¥110,000"
拡張パック『覚醒の勇者』(未開封BOX),"¥105,000"
拡張パック『タッグボルト』(未開封BOX),"¥105,000"
ハイクラスパック『GXウルトラシャイニー』(未開封BOX),"¥90,000"
拡張パック『キミを待つ島々』(未開封BOX),"¥85,000"
ダブルブレイズ(ポケモンセンター限定セット)(未開封BOX),"¥80,000"
強化拡張パック『チャンピオンロード』(未開封BOX),"¥60,000"
拡張パック『ウルトラムーン』(未開封BOX),"¥55,000"
拡張パック『ドラゴンストーム』(未開封BOX),"¥55,000"
拡張パック『超爆インパクト』(未開封BOX),"¥48,000"
拡張パック『禁断の光』(未開封BOX),"¥42,000"
拡張パック『ダブルブレイズ』(未開封BOX),"¥36,000"
強化拡張パック『ウルトラフォース』(未開封BOX),"¥35,000"
強化拡張パック『ナイトユニゾン』(未開封BOX),"¥35,000"
拡張パック『ウルトラサン』(未開封BOX),"¥34,000"
強化拡張パック『迅雷スパーク』(未開封BOX),"¥34,000"
強化拡張パック『フェアリーライズ』(未開封BOX),"¥28,000"
強化拡張パック『ダークオーダー』(未開封BOX),"¥25,000"
強化拡張パック『フルメタルウォール』(未開封BOX),"¥25,000"
ムービースペシャルパック『名探偵ピカチュウ』(未開封BOX),"¥19,000"
