パック名,発売日,希望小売価格,買取価格,カード枚数,経過年数,金価格_発売日,金_ROI,金_CAGR,銀価格_発売日,銀_ROI,銀_CAGR,ポケカ_ROI,ポケカ_CAGR
第1弾 拡張パック,1996-10-20,300.0,45000.0,10,28.61327857631759,383.9,7.683120604324042,0.07846387477212624,4.937,5.728175005063803,0.06889248486693478,149.0,0.1913840928656252
第2弾 拡張パック『ポケモンジャングル』,1997-03-05,300.0,30000.0,10,28.240930869267626,354.4,8.405897291196387,0.08259922185182811,5.24,5.339122137404579,0.06757778592549402,99.0,0.17711581687733324
第3弾 拡張パック『化石の秘密』,1997-06-21,300.0,24000.0,10,27.94524298425736,341.1,8.772647317502198,0.08499281078645304,4.812,5.902950955943473,0.07157912271979927,79.0,0.16977053471511683
第4弾 拡張パック『ロケット団』,1997-11-21,300.0,55000.0,10,27.526351813826146,305.9,9.897188623733246,0.09064751735461485,5.418,5.130860095976375,0.06809461826478014,182.33333333333334,0.20842833657591875
ジム拡張第1弾『リーダーズスタジアム』,1998-10-24,300.0,18000.0,10,26.60369609856263,293.6,10.353712534059945,0.09562347044911834,4.983,5.6660646197070035,0.07391086251360424,59.0,0.16637581013420633
ポケモンジム ジム拡張第2弾『闇からの挑戦』,1999-06-25,300.0,27000.0,10,25.935660506502394,260.8,11.78163343558282,0.10323135477881529,5.065,5.558144126357353,0.07520823902803775,89.0,0.18945942888868017
拡張パック 第1弾『金、銀、新世界へ...』,2000-02-04,300.0,30000.0,10,25.322381930184804,313.0,9.649999999999999,0.09792029341105057,5.572,4.961414213926776,0.07304795145725196,99.0,0.1994482399790094
拡張パック 第2弾『遺跡をこえて...』,2000-07-07,300.0,32000.0,10,24.90075290896646,284.6,10.712754743499648,0.10386696463980138,5.033,5.599841049076097,0.07872810977526701,105.66666666666667,0.20626985278891818
拡張パック 第3弾『めざめる伝説』,2000-11-23,300.0,70000.0,10,24.520191649555098,270.3,11.332408435072141,0.10788809621046891,4.698,6.070455512984248,0.0830356973423032,232.33333333333334,0.24902900455702293
拡張パック 第4弾『闇、そして光へ...』,2001-04-20,300.0,110000.0,10,24.11498973305955,265.4,11.560097965335343,0.11063926915353961,4.44,6.481306306306305,0.0870313818309083,365.6666666666667,0.2774242777063678
第1弾 基本拡張パック,2001-12-01,191.0,40000.0,5,23.498973305954827,277.9,10.995142137459517,0.11151961069554583,4.227,6.858291932812869,0.09169352681381593,208.4240837696335,0.2553690162262483
拡張パック 第2弾『地図にない町』,2002-03-08,191.0,67000.0,5,23.23340177960301,290.3,10.482776438167411,0.11077472208083972,4.505,6.3733629300776915,0.08979701024485509,349.78534031413614,0.2868927383536677
拡張パック 第3弾『海からの風』,2002-05-24,191.0,85000.0,5,23.02258726899384,320.7,9.394293732460243,0.10704456739494583,4.872,5.817939244663383,0.0869516538570001,444.0261780104712,0.30326948953581745
拡張パック 第4弾『裂けた大地』,2002-08-23,191.0,77000.0,5,22.77344284736482,308.3,9.812358092766784,0.11019756006987036,4.423,6.5100610445399045,0.09257233997632941,402.1413612565445,0.301390721947133
拡張パック 第5弾『神秘なる山』,2002-10-04,191.0,90000.0,5,22.65845311430527,323.3,9.310702134240643,0.1084601840865056,4.49,6.397995545657015,0.09233831376206059,470.2041884816754,0.3121347835944359
第1弾拡張パック,2003-01-31,300.0,45000.0,11,22.33264887063655,369.1,8.031292332701165,0.10356033727913205,4.86,5.83477366255144,0.08987540773810432,149.0,0.2515260922050202
第2弾拡張パック『砂漠のきせき』,2003-04-18,300.0,27000.0,11,22.12183436002738,333.9,8.983378256963162,0.10961303287535462,4.535,6.324586549062844,0.09418771831730655,89.0,0.2255752577602399
第3弾 拡張パック『天空の覇者』,2003-06-25,300.0,54000.0,11,21.935660506502394,349.6,8.53504004576659,0.10826910337966944,4.565,6.276451259583789,0.09469485831004043,179.0,0.2671063452117599
強化拡張パックex1『マグマVSアクア　ふたつの野望』,2003-10-24,300.0,30000.0,10,21.60438056125941,389.2,7.564876670092498,0.10451794813947801,5.165,5.431171345595353,0.08996674938293703,99.0,0.2375815273273192
第4弾拡張パック『とかれた封印』,2004-01-16,300.0,55000.0,11,21.374401095140314,407.0,7.19029484029484,0.10338902756912116,6.33,4.247551342812006,0.08064519909589318,182.33333333333334,0.27610263967011117
拡張パック『伝説の飛翔』,2004-04-09,300.0,50000.0,11,21.144421629021217,420.9,6.919814682822523,0.102817493146103,8.03,3.136612702366127,0.06945736914769474,165.66666666666666,0.2737367091837599
拡張パック『蒼空の激突』,2004-07-01,300.0,100000.0,11,20.917180013689254,396.4,7.409308779011099,0.10716044804068003,5.953,4.579875692927935,0.08566120825785606,332.3333333333333,0.3201180121694889
拡張パック｢ロケット団の逆襲｣,2004-10-15,300.0,120000.0,11,20.62696783025325,420.1,6.934896453225422,0.10563037368441708,7.11,3.671870604781997,0.07759871182106282,399.0,0.3370524637800425
拡張パック『金の空、銀の海』,2005-04-08,300.0,120000.0,11,20.147843942505133,428.8,6.773903917910447,0.10714673844048583,7.165,3.6360083740404745,0.07910276123872118,399.0,0.34632003838716807
拡張パック『まぼろしの森』,2005-06-30,300.0,95000.0,11,19.920602327173167,437.1,6.626286890871653,0.10736677507584447,7.075,3.694982332155477,0.08072586337712373,315.6666666666667,0.3351450527895081
拡張パック『ホロンの研究塔』,2005-10-28,300.0,110000.0,11,19.592060232717316,474.8,6.020745577085088,0.10458799314385048,7.82,3.2476982097186697,0.07661801766208964,365.6666666666667,0.3517089660071413
拡張パック『ホロンの幻影(かげ)』,2006-01-27,300.0,95000.0,10,19.342915811088297,558.8,4.965372226198998,0.09672895232516487,9.605,2.4583029672045806,0.06624846307560928,315.6666666666667,0.34672035753332886
拡張パック『きせきの結晶』,2006-03-10,300.0,95000.0,11,19.227926078028748,541.3,5.1582301865878435,0.09915205926049753,9.96,2.3350401606425697,0.06464612486764842,315.6666666666667,0.34911990336149956
拡張パック『さいはての攻防』,2006-06-29,300.0,140000.0,11,18.924024640657084,588.9,4.660468670402445,0.0959301881072312,10.42,2.1878119001919383,0.06317805712604496,465.6666666666667,0.38368747649199686
拡張パック『時空の創造 ダイヤモンドコレクション』,2006-11-30,300.0,14000.0,11,18.50239561943874,652.9,4.105605758921733,0.09211373825168767,14.115,1.353312079348211,0.047341189835578446,45.666666666666664,0.2308493534400462
拡張パック『時空の創造 パールコレクション』,2006-11-30,300.0,25000.0,11,18.50239561943874,652.9,4.105605758921733,0.09211373825168767,14.115,1.353312079348211,0.047341189835578446,82.33333333333333,0.2700318064815268
拡張パック『湖の秘密』,2007-03-02,300.0,20000.0,11,18.250513347022586,644.1,4.175360968793665,0.09425599606895707,12.96,1.5630401234567899,0.05292376113955166,65.66666666666667,0.2587439433363512
拡張パック『ひかる闇』,2007-07-05,300.0,24000.0,11,17.908281998631075,650.6,4.123655087611436,0.09552678835028483,12.58,1.6404610492845788,0.05571485896292083,79.0,0.27722881470259164
拡張パック『夜明けの疾走』,2007-10-26,300.0,20000.0,11,17.598904859685145,787.5,3.232952380952381,0.08544282763389033,14.28,1.3261204481792717,0.049138129686527865,65.66666666666667,0.26951438770234004
拡張パック『月光の追跡』,2007-10-26,300.0,14000.0,11,17.598904859685145,787.5,3.232952380952381,0.08544282763389033,14.28,1.3261204481792717,0.049138129686527865,45.666666666666664,0.24404426012287872
拡張パック『怒りの神殿』,2008-03-14,300.0,12000.0,11,17.215605749486652,999.5,2.3351175587793893,0.07247176997697746,20.655,0.6081820382473976,0.027981640954996667,39.0,0.23896372099752372
拡張パック『秘境の叫び』,2008-03-14,300.0,12000.0,11,17.215605749486652,999.5,2.3351175587793893,0.07247176997697746,20.655,0.6081820382473976,0.027981640954996667,39.0,0.23896372099752372
拡張パック『破空の激闘』,2008-07-10,300.0,25000.0,11,16.892539356605067,942.0,2.538694267515923,0.07768109094756226,18.32,0.8131550218340611,0.03585451148452279,82.33333333333333,0.2992960310404005
拡張パック『ギンガの覇道』,2008-10-10,300.0,13000.0,11,16.640657084188913,859.0,2.8806169965075665,0.08489891410242789,10.6,2.1336792452830187,0.0710501167620734,42.333333333333336,0.25418854080380493
拡張パック『時の果ての絆』,2008-12-26,300.0,10000.0,11,16.42984257357974,871.2,2.8262741046831956,0.08510204514836017,10.53,2.1545109211775877,0.07242622692262657,32.333333333333336,0.23791206391448694
拡張パック『フロンティアの鼓動』,2009-03-06,300.0,24000.0,11,16.238193018480494,942.7,2.5360666171634665,0.08088539241524484,13.333,1.4913372834320857,0.057824414665802015,79.0,0.30978008986983685
拡張パック『アルセウス光臨』,2009-07-08,300.0,23000.0,11,15.898699520876113,909.3,2.6659518310788517,0.08514143312365308,12.852,1.5845782757547462,0.061545417789002244,75.66666666666667,0.31382769137584443
拡張パック『ハートゴールドコレクション』,2009-10-09,300.0,30000.0,11,15.644079397672828,1048.6,2.178952889567042,0.07673040425973765,17.69,0.8777275296777839,0.04109683601259606,99.0,0.3422823889867661
拡張パック『ソウルシルバーコレクション』,2009-10-09,300.0,36000.0,11,15.644079397672828,1048.6,2.178952889567042,0.07673040425973765,17.69,0.8777275296777839,0.04109683601259606,119.0,0.3580173281727659
拡張パック『よみがえる伝説』,2010-02-11,300.0,42000.0,11,15.301848049281315,1094.7,2.0450808440668675,0.07548398851038085,15.59,1.1306606799230274,0.05067628330112517,139.0,0.381188219400578
拡張パック『ロストリンク』,2010-04-16,191.0,2000.0,7,15.126625598904859,1136.9,1.9320520714222882,0.07370274737935856,17.675,0.8793210749646392,0.04259063769098437,9.471204188481675,0.16796693019401276
拡張パック『頂上大激突』,2010-07-08,300.0,33000.0,11,14.899383983572895,1196.1,1.7869325307248558,0.07121215973911177,17.872,0.8586056401074306,0.04247825637956537,109.0,0.3709192825841985
拡張パック『ブラックコレクション』,2010-12-17,150.0,5000.0,5,14.455852156057494,1379.2,1.4169446055684454,0.0629501787084421,29.133,0.14018467030515222,0.009116538777592442,32.333333333333336,0.27452062468405836
拡張パック『ホワイトコレクション』,2010-12-17,150.0,5500.0,5,14.455852156057494,1379.2,1.4169446055684454,0.0629501787084421,29.133,0.14018467030515222,0.009116538777592442,35.666666666666664,0.28295154410081125
拡張パック『レッドコレクション』,2011-07-15,150.0,7500.0,5,13.880903490759753,1590.1,1.096377586315326,0.054773280846357686,39.071,-0.14982979703616492,-0.01162556519617175,49.0,0.32555029850950157
拡張パック『ヘイルブリザード』,2011-09-16,150.0,7500.0,5,13.708418891170432,1814.7,0.836915192593817,0.045357257129676753,40.831,-0.18647596189170002,-0.014942208256275902,49.0,0.33025912926036227
拡張パック『サイコドライブ』,2011-09-16,150.0,7500.0,5,13.708418891170432,1814.7,0.836915192593817,0.045357257129676753,40.831,-0.18647596189170002,-0.014942208256275902,49.0,0.33025912926036227
拡張パック『ダークラッシュ』,2011-12-16,150.0,6000.0,5,13.45927446954141,1597.9,1.0861443144126663,0.05615269956755742,29.671,0.11951063327828518,0.008422922774856012,39.0,0.3153162619221801
拡張パック『ドラゴンセレクション』,2012-01-27,300.0,9000.0,5,13.344284736481862,1732.2,0.9244024939383442,0.050279030513793455,33.79,-0.01695767978691922,-0.0012808593583637506,29.0,0.2903073634427116
拡張パック『リューノブレード』,2012-03-16,150.0,8500.0,5,13.210130047912388,1655.8,1.013196038168861,0.05439665096916735,32.604,0.018801374064531945,0.001411034654034804,55.666666666666664,0.35745673282091683
拡張パック『リューズブラスト』,2012-03-16,150.0,6000.0,5,13.210130047912388,1655.8,1.013196038168861,0.05439665096916735,32.604,0.018801374064531945,0.001411034654034804,39.0,0.32213289664498324
拡張パック『コールドフレア』,2012-07-13,150.0,6000.0,5,12.88432580424367,1592.0,1.0938756281407034,0.059034676205172554,27.369,0.21367240308378088,0.015143470418444771,39.0,0.3315018646614607
拡張パック『フリーズボルト』,2012-07-13,150.0,6000.0,5,12.88432580424367,1592.0,1.0938756281407034,0.059034676205172554,27.369,0.21367240308378088,0.015143470418444771,39.0,0.3315018646614607
拡張パック『プラズマゲイル』,2012-09-14,150.0,11000.0,5,12.711841204654347,1772.7,0.8804366221018783,0.05093306720621227,34.656,-0.04152239150507849,-0.0033306279848617226,72.33333333333333,0.40196545751948687
拡張パック『ライデンナックル』,2012-12-14,150.0,5500.0,5,12.462696783025326,1697.0,0.9643193871538007,0.05566756786310667,32.299,0.02842193256757173,0.002251283042802754,35.666666666666664,0.33510765914502283
拡張パック『ラセンフォース』,2012-12-14,150.0,7000.0,5,12.462696783025326,1697.0,0.9643193871538007,0.05566756786310667,32.299,0.02842193256757173,0.002251283042802754,45.666666666666664,0.3611945287500511
コンセプトパック『シャイニーコレクション』,2013-02-01,180.0,1500.0,4,12.328542094455852,1670.6,0.9953609481623369,0.057634280297371054,31.958,0.03939545653670444,0.003139046415589597,7.333333333333333,0.1876541633964035
拡張パック『メガロキャノン』,2013-03-15,150.0,7500.0,5,12.213552361396303,1592.6,1.0930867763405752,0.06234324139320968,28.851,0.15132924335378323,0.011604585189442407,49.0,0.37754346673955097
コンセプトパック『EXバトルブースト』,2013-07-13,150.0,14000.0,5,11.885010266940451,1283.5,1.597156213478769,0.08361673039810502,19.839,0.6743283431624578,0.04432063832552613,92.33333333333333,0.4647317809179541
拡張パック『コレクションX』,2013-12-13,150.0,4200.0,5,11.46611909650924,1234.6,1.7000242993682164,0.09048845059117028,19.604,0.6943991022240359,0.04706406343204317,27.0,0.3372471139749136
拡張パック『コレクションY』,2013-12-13,150.0,4000.0,5,11.46611909650924,1234.6,1.7000242993682164,0.09048845059117028,19.604,0.6943991022240359,0.04706406343204317,25.666666666666668,0.33156900358090646
拡張パック『ワイルドブレイズ』,2014-03-15,150.0,8000.0,5,11.214236824093087,1372.9,1.4280355451962996,0.08231605903996075,21.275,0.5613160987074031,0.0405286324202907,52.333333333333336,0.42560942513287214
拡張パック『ライジングフィスト』,2014-06-14,150.0,6000.0,5,10.965092402464066,1275.3,1.6138555633968477,0.09157971238527085,19.715,0.6848592442302814,0.0487265506332617,39.0,0.3999272623455601
拡張パック『ファントムゲート』,2014-09-13,150.0,9500.0,5,10.715947980835045,1235.1,1.69893126062667,0.0970800747298628,18.62,0.7839419978517721,0.05550078825247451,62.333333333333336,0.47274063025585145
拡張パック『タイダルストーム』,2014-12-03,150.0,7000.0,5,10.494182067077345,1208.7,1.757880367336808,0.10149575131604194,16.412,1.0239458932488423,0.06949305078741652,45.666666666666664,0.4422519993694336
拡張パック『ガイアボルケーノ』,2014-12-03,150.0,6500.0,5,10.494182067077345,1208.7,1.757880367336808,0.10149575131604194,16.412,1.0239458932488423,0.06949305078741652,42.333333333333336,0.432102960087148
コンセプトパック『マグマ団VSアクア団　ダブルクライシス』,2015-01-30,186.0,25000.0,6,10.335386721423683,1279.2,1.6058864915572233,0.09709885071454494,17.208,0.9303231055323107,0.06570283739882354,133.40860215053763,0.6067040564242623
拡張パック『エメラルドブレイク』,2015-03-14,150.0,8000.0,5,10.217659137577002,1153.2,1.890608740894901,0.10947346599030006,15.617,1.1269770122302616,0.07665874214806401,52.333333333333336,0.47577781286687637
拡張パック『バンデットリング』,2015-06-20,150.0,4500.0,5,9.949349760438055,1184.1,1.8151760831010895,0.1096330693274079,16.142,1.0577995291785405,0.07522623859537347,29.0,0.4075508704569393
コンセプトパック『伝説キラコレクション』,2015-07-18,186.0,15000.0,4,9.872689938398358,1106.8,2.011790748102638,0.11814965059987248,14.758,1.2507792383791843,0.08564448239923017,79.64516129032258,0.5599705426494297
拡張パック『赤い閃光』,2015-09-26,150.0,4500.0,5,9.681040383299111,1131.7,1.9455244322700362,0.11805200612656463,14.538,1.2848397303618102,0.08910033142308516,29.0,0.4209499207521119
拡張パック『青い衝撃』,2015-09-26,150.0,7000.0,5,9.681040383299111,1131.7,1.9455244322700362,0.11805200612656463,14.538,1.2848397303618102,0.08910033142308516,45.666666666666664,0.48730324948585513
拡張パック『破天の怒り』,2015-12-11,150.0,8000.0,5,9.47296372347707,1075.7,2.098865854792228,0.1268163125240045,13.884,1.3924661480841254,0.09645880766513026,52.333333333333336,0.521626891773046
コンセプトパック『ポケキュンコレクション』,2016-01-29,186.0,45000.0,4,9.338809034907598,1116.4,1.9858921533500533,0.12427085713563013,14.243,1.3321631678719368,0.09491306852953807,240.93548387096774,0.7998927754797598
拡張パック『めざめる超王』,2016-03-18,150.0,6000.0,5,9.204654346338124,1254.3,1.657617794785936,0.11203168219180881,15.811,1.1008791347795837,0.08399149436606801,39.0,0.49296251259344404
拡張パック『冷酷の反逆者』,2016-06-17,150.0,2500.0,5,8.955509924709103,1294.8,1.5744902687673772,0.11137099604895906,17.411,0.9078168973637354,0.07479489893707636,15.666666666666666,0.3691007837594047
拡張パック『爆熱の闘士』,2016-06-17,150.0,1200.0,5,8.955509924709103,1294.8,1.5744902687673772,0.11137099604895906,17.411,0.9078168973637354,0.07479489893707636,7.0,0.2613680535596723
コンセプトパック『幻・伝説ドリームキラコレクション』,2016-07-16,186.0,14000.0,4,8.876112251882272,1329.3,1.5076732114646807,0.10913047306640533,20.075,0.6546450809464508,0.05837534009696954,74.26881720430107,0.6271331432150233
コンセプトパック『ポケットモンスターカードゲーム 拡張パック 20th Anniversary』,2017-01-27,253.0,15000.0,5,8.342231348391513,1188.4,1.8049899023897673,0.13160386834876348,17.136,0.9384337068160598,0.08257332608444745,58.28853754940712,0.6312839288261516
ハイクラスパック『THE BEST OF XY』,2017-03-17,165.0,13000.0,5,8.208076659822039,1230.2,1.7096813526255892,0.12912742398771093,17.413,0.9075977717797047,0.0818624569273918,77.78787878787878,0.7023465107643352
拡張パック『コレクション サン』,2017-03-17,165.0,3000.0,5,8.208076659822039,1230.2,1.7096813526255892,0.12912742398771093,17.413,0.9075977717797047,0.0818624569273918,17.181818181818183,0.4238464321129778
拡張パック『コレクション ムーン』,2017-04-21,165.0,4333.0,5,8.112251882272416,1289.1,1.5858738654875495,0.12424831229124234,17.937,0.8518704354128336,0.07891802289342609,25.26060606060606,0.4960915502939185
強化拡張パック『サン＆ムーン』,2017-06-16,165.0,3500.0,5,7.958932238193018,1256.5,1.6529645841623557,0.13041974874029516,16.689,0.9903529270777158,0.09033278211080265,20.21212121212121,0.46783977681191113
拡張パック『キミを待つ島々』,2017-06-16,165.0,2833.0,5,7.958932238193018,1256.5,1.6529645841623557,0.13041974874029516,16.689,0.9903529270777158,0.09033278211080265,16.169696969696968,0.42936039466732767
拡張パック『アローラの月光』,2017-07-15,253.0,4333.0,6,7.879534565366187,1235.3,1.6984942928843194,0.13426382780705293,16.099,1.0632958568855206,0.09627959535679076,16.126482213438734,0.43405603573906504
強化拡張パック『新たなる試練の向こう』,2017-09-15,165.0,15000.0,5,7.709787816563997,1325.2,1.5154316329610622,0.12709766248699927,17.667,0.8801720722250521,0.08533765170804108,89.9090909090909,0.7949058067070982
拡張パック『闘う虹を見たか』,2017-06-16,165.0,4000.0,5,7.958932238193018,1256.5,1.6529645841623557,0.13041974874029516,16.689,0.9903529270777158,0.09033278211080265,23.242424242424242,0.4926742822765646
拡張パック『光を喰らう闇』,2017-12-08,165.0,3666.0,5,7.479808350444901,1246.5,1.6742478941034897,0.14054909717515396,15.788,1.1039397010387635,0.10455507416263843,21.21818181818182,0.5137210787485913
強化拡張パック『ひかる伝説』,2017-12-08,165.0,8500.0,5,7.479808350444901,1246.5,1.6742478941034897,0.14054909717515396,15.788,1.1039397010387635,0.10455507416263843,50.515151515151516,0.6938469917244132
拡張パック『覚醒の勇者』,2018-01-19,253.0,3500.0,5,7.364818617385352,1333.1,1.500525091891081,0.1325175609834237,17.036,0.949812162479455,0.09490241340342709,12.83399209486166,0.4286262251285693
拡張パック『超次元の暴獣』,2018-03-02,165.0,2333.0,5,7.2498288843258045,1323.4,1.5188529545111074,0.135898759996532,16.466,1.01730839305235,0.1016370921186256,13.139393939393939,0.44106594415664313
ハイクラスパック『GXバトルブースト』,2018-04-06,165.0,50000.0,5,7.15400410677618,1333.1,1.500525091891081,0.13667823385168254,16.399,1.0255503384352702,0.10369520653333075,302.030303030303,1.2226277733809674
拡張パック『ウルトラサン』,2018-05-03,165.0,1133.0,5,7.080082135523614,1312.7,1.5393844747467051,0.1406814356844337,16.447,1.019638839910014,0.1043767524986241,5.866666666666666,0.3127532053447921
拡張パック『ウルトラムーン』,2018-06-01,165.0,1833.0,5,7.000684462696783,1297.1,1.5699252177935394,0.144338063703759,16.485,1.0149833181680314,0.10525655907231823,10.10909090909091,0.41048359893609754
強化拡張パック『ウルトラフォース』,2018-07-06,165.0,1750.0,5,6.9048596851471595,1255.8,1.654443382704252,0.15186659674129444,16.069,1.0671479245752693,0.11089715456496108,9.606060606060606,0.4077528723792776
拡張パック『禁断の光』,2018-08-03,165.0,1400.0,5,6.828199863107461,1215.9,1.7415494695287437,0.15916477901461312,15.495,1.143723781865118,0.11815025162544068,7.484848484848484,0.36773293512252314
強化拡張パック『ドラゴンストーム』,2018-09-07,165.0,1833.0,5,6.7323750855578375,1195.1,1.7892644966948372,0.16458516499690257,14.13,1.3508138711960365,0.13537484933026933,10.10909090909091,0.42995013984958996
強化拡張パック『チャンピオンロード』,2018-10-05,165.0,2000.0,5,6.655715263518139,1202.8,1.7714083804456267,0.1655055413332609,14.649,1.267526793637791,0.13089066384680792,11.121212121212121,0.4547867600240909
拡張パック『裂空のカリスマ』,2018-12-07,165.0,4333.0,5,6.483230663928816,1248.2,1.6706056721679217,0.1635955036553558,14.647,1.2678364170137228,0.1346214931086127,25.26060606060606,0.6554625697164218
拡張パック『迅雷スパーク』,2019-01-11,165.0,1333.0,5,6.3874058863791925,1289.5,1.585071733229934,0.16031503041045547,15.656,1.1216785896780785,0.12497877815207281,7.078787878787879,0.3869230932639969
強化拡張パック『フェアリーライズ』,2019-03-01,165.0,933.0,5,6.253251197809719,1299.2,1.5657712438423643,0.16262813266096732,15.256,1.1773072889355007,0.1325021771202186,4.654545454545454,0.3192315889445141
拡張パック『超爆インパクト』,2019-04-26,220.0,3666.0,5,6.099931553730322,1285.5,1.5931155192532087,0.16906971753595457,15.049,1.2072562960994087,0.1385967455475947,15.663636363636364,0.585960531763478
強化拡張パック『ダークオーダー』,2019-04-05,165.0,833.0,5,6.157426420260096,1292.6,1.5788720408479036,0.1663219980386581,15.132,1.1951493523658472,0.13620225866704283,4.048484848484849,0.3007601774726618
ハイクラスパック『GXウルトラシャイニー』,2019-04-26,165.0,9000.0,5,6.099931553730322,1285.5,1.5931155192532087,0.16906971753595457,15.049,1.2072562960994087,0.1385967455475947,53.54545454545455,0.9262724514296594
拡張パック『タッグボルト』,2019-05-31,165.0,3500.0,5,6.0041067761806985,1308.0,1.5485091743119264,0.16860583544197216,14.607,1.274046689943178,0.1466368322621221,20.21212121212121,0.6632062972043182
強化拡張パック『ナイトユニゾン』,2019-07-05,165.0,1133.0,5,5.908281998631074,1400.1,1.3808656524533962,0.158147473187366,15.001,1.2143190453969737,0.14401906741200032,5.866666666666666,0.3855511096337787
強化拡張パック『フルメタルウォール』,2019-08-02,165.0,833.0,5,5.831622176591376,1448.7,1.3009939946158624,0.1536149076634099,16.309,1.0367281868906737,0.12973216893881356,4.048484848484849,0.3200101352250557
拡張パック『ダブルブレイズ』,2019-09-06,165.0,1200.0,5,5.735797399041752,1509.0,1.2090457256461231,0.14817983022480852,18.065,0.8387489620813726,0.11203335651188207,6.2727272727272725,0.4132906139509285
ムービースペシャルパック『名探偵ピカチュウ』,2019-07-05,165.0,950.0,4,5.908281998631074,1400.1,1.3808656524533962,0.158147473187366,15.001,1.2143190453969737,0.14401906741200032,4.757575757575758,0.3448491013108761
