日付け,終値,始値,高値,安値,出来高,変化率 %
1996-10-21,4.937,4.905,4.955,4.905,,0.82%
1996-10-22,4.99,4.955,5.0,4.95,,1.07%
1996-10-23,4.988,4.965,5.0,4.965,,-0.04%
1996-10-24,4.918,4.985,4.985,4.89,,-1.40%
1996-10-25,4.925,4.91,4.94,4.9,,0.14%
1996-10-28,4.93,4.93,4.935,4.915,,0.10%
1996-10-29,4.82,4.905,4.905,4.81,,-2.23%
1996-10-30,4.828,4.81,4.84,4.79,,0.17%
1996-10-31,4.808,4.835,4.88,4.76,,-0.41%
1996-11-01,4.798,4.805,4.815,4.765,,-0.21%
1996-11-04,4.808,4.8,4.82,4.8,,0.21%
1996-11-05,4.793,4.81,4.83,4.78,,-0.31%
1996-11-06,4.713,4.785,4.81,4.71,,-1.67%
1996-11-07,4.833,4.73,4.875,4.73,,2.55%
1996-11-08,4.838,4.835,4.845,4.765,,0.10%
1996-11-11,4.893,4.85,4.9,4.84,,1.14%
1996-11-12,4.88,4.895,4.905,4.83,,-0.27%
1996-11-13,4.898,4.89,4.94,4.865,,0.37%
1996-11-14,4.84,4.89,4.935,4.83,,-1.18%
1996-11-15,4.938,4.845,4.97,4.82,,2.02%
1996-11-18,4.883,4.94,4.94,4.87,,-1.11%
1996-11-19,4.873,4.88,4.885,4.855,,-0.20%
1996-11-20,4.945,4.87,4.965,4.865,,1.48%
1996-11-21,4.84,4.93,4.945,4.805,,-2.12%
1996-11-22,4.835,4.825,4.875,4.825,,-0.10%
1996-11-25,4.72,4.82,4.825,4.69,,-2.38%
1996-11-26,4.714,4.74,4.74,4.69,,-0.13%
1996-11-27,4.714,4.7,4.73,4.66,,0.00%
1996-12-02,4.742,4.76,4.775,4.72,,0.59%
1996-12-03,4.845,4.72,4.85,4.71,,2.17%
1996-12-04,4.862,4.825,4.885,4.815,,0.35%
1996-12-05,4.892,4.86,4.915,4.77,,0.62%
1996-12-06,4.805,4.89,4.93,4.8,,-1.78%
1996-12-09,4.807,4.8,4.84,4.78,,0.04%
1996-12-10,4.872,4.805,4.89,4.805,,1.35%
1996-12-11,4.86,4.865,4.92,4.79,,-0.25%
1996-12-12,4.86,4.86,4.89,4.835,,0.00%
1996-12-13,4.85,4.87,4.895,4.83,,-0.21%
1996-12-16,4.835,4.845,4.85,4.82,,-0.31%
1996-12-17,4.893,4.84,4.955,4.82,,1.20%
