カード名/商品名,買取価格
ポケモンカードゲーム 20周年記念 ロケット団スペシャルケース(未開封BOX),"¥1,100,000"
マリオピカチュウ(スペシャルBOX),"¥1,100,000"
レックウザポンチョを着たピカチュウ(スペシャルBOX),"¥950,000"
メガリザードンXのポンチョを着たピカチュウ(スペシャルBOX),"¥850,000"
コイキングごっこ＆ギャラドスごっこピカチュウ(スペシャルBOX),"¥800,000"
コンセプトパック第3弾 ポケキュンコレクション(未開封BOX),"¥800,000"
ルイージピカチュウ(スペシャルBOX),"¥720,000"
ポケモンカードゲーム15周年プレミアムセット(未開封BOX),"¥700,000"
メガリザードンYのポンチョを着たピカチュウ(スペシャルBOX),"¥700,000"
拡張パック第3弾 ひかる闇(未開封BOX),"¥650,000"
団員ごっこピカチュウ(スペシャルBOX),"¥540,000"
ハイクラスパック『GXバトルブースト』(未開封BOX),"¥500,000"
裂空のカリスマ(ポケモンセンター限定セット)(未開封BOX),"¥450,000"
リミテッドコレクション マスターバトルセット(未開封BOX),"¥400,000"
拡張パック第1弾 時空の創造 パールコレクション(未開封BOX),"¥400,000"
ポケキュンコレクション プレミアムポケキュンセット(未開封BOX),"¥400,000"
拡張パック第4弾 月光の追跡(未開封BOX),"¥350,000"
拡張パック第4弾 ファントムゲート(未開封BOX),"¥320,000"
コンセプトパック第1弾 マグマ団VSアクア団 ダブルクライシス(未開封BOX),"¥320,000"
コンセプトパック第5弾 幻・伝説ドリームキラコレクション(未開封BOX),"¥300,000"
強化拡張パック『新たなる試練の向こう』(未開封BOX),"¥300,000"
拡張パック第2弾 ワイルドブレイズ(未開封BOX),"¥270,000"
コンセプトパック第2弾 伝説キラコレクション(未開封BOX),"¥270,000"
コンセプトパック第6弾 拡張パック 20th Anniversary(未開封BOX),"¥250,000"
拡張パック第6弾 エメラルドブレイク(未開封BOX),"¥240,000"
タッグボルト(ポケモンセンター限定セット)(未開封BOX),"¥230,000"
拡張パック第3弾 ライジングフィスト(未開封BOX),"¥220,000"
ポケモンセンター15周年カードプレミアムセット(未開封BOX),"¥200,000"
拡張パック第5弾 タイダルストーム(未開封BOX),"¥200,000"
拡張パック第10弾 めざめる超王(未開封BOX),"¥200,000"
アローラロコン＆ロコンポンチョのピカチュウ(スペシャルBOX),"¥180,000"
拡張パック第5弾 ガイアボルケーノ(未開封BOX),"¥180,000"
コンセプトパック第4弾 プレミアムチャンピオンパック「EX×M×BREAK」(未開封BOX),"¥170,000"
強化拡張パック『ひかる伝説』(未開封BOX),"¥170,000"
イーブイズセット(未開封BOX),"¥165,000"
リーリエ＆コスモッグ(スペシャルBOX),"¥160,000"
拡張パック第8弾 青い衝撃(未開封BOX),"¥150,000"
ポケモンセンターヨコハマ(スペシャルBOX),"¥140,000"
ミミッキュだよ(スペシャルBOX),"¥140,000"
ポケモンセンタートウキョーDX(スペシャルBOX),"¥130,000"
拡張パック第7弾 バンデットリング(未開封BOX),"¥130,000"
拡張パック第8弾 赤い閃光(未開封BOX),"¥130,000"
拡張パック『アローラの月光』(未開封BOX),"¥130,000"
拡張パック『裂空のカリスマ』(未開封BOX),"¥130,000"
禁断の光(ポケモンセンター限定セット)(未開封BOX),"¥130,000"
拡張パック第1弾 コレクションX(未開封BOX),"¥120,000"
拡張パック第1弾 コレクションY(未開封BOX),"¥120,000"
拡張パック『光を喰らう闇』(未開封BOX),"¥110,000"
超爆インパクト(ポケモンセンター限定セット)(未開封BOX),"¥110,000"
ミラクルツイン(ポケモンセンター限定セット)(未開封BOX),"¥110,000"
拡張パック『覚醒の勇者』(未開封BOX),"¥105,000"
拡張パック『タッグボルト』(未開封BOX),"¥105,000"
RokonsCrystalSeason(スペシャルBOX),"¥90,000"
拡張パック『コレクションサン』(未開封BOX),"¥90,000"
ハイクラスパック『GXウルトラシャイニー』(未開封BOX),"¥90,000"
拡張パック『キミを待つ島々』(未開封BOX),"¥85,000"
強化拡張パック『ドリームリーグ』(未開封BOX),"¥85,000"
ハイクラスパック『タッグオールスターズ』(未開封BOX),"¥85,000"
ダブルブレイズ(ポケモンセンター限定セット)(未開封BOX),"¥80,000"
25th ANNIVERSARY GOLDEN BOX(未開封BOX),"¥65,000"
拡張パック『蒼空ストリーム』(未開封BOX),"¥65,000"
オルタージェネシス(ポケモンセンター限定セット)(未開封BOX),"¥65,000"
反逆クラッシュ(ポケモンセンター限定セット)(未開封BOX),"¥65,000"
強化拡張パック『サン&ムーン』(未開封BOX),"¥63,000"
強化拡張パック『イーブイヒーローズ』(未開封BOX),"¥63,000"
強化拡張パック『チャンピオンロード』(未開封BOX),"¥60,000"
拡張パック『ウルトラムーン』(未開封BOX),"¥55,000"
拡張パック『ドラゴンストーム』(未開封BOX),"¥55,000"
強化拡張パック『VMAXライジング』(未開封BOX),"¥55,000"
ムゲンゾーン(ポケモンセンター限定セット)(未開封BOX),"¥55,000"
ポケモンカードジムセット『伝説の鼓動』(未開封BOX),"¥55,000"
一撃マスター＆連撃マスター(ポケモンセンター・ポケモンストアセット)(未開封BOX),"¥50,000"
拡張パック『超爆インパクト』(未開封BOX),"¥48,000"
ポケモンセンターカナザワオープン記念(スペシャルBOX),"¥47,000"
拡張パック『ミラクルツイン』(未開封BOX),"¥47,000"
拡張パック『シールド』(未開封BOX),"¥47,000"
映画公開記念スペシャルパック フーパ(未開封BOX),"¥45,000"
仰天のボルテッカー(ポケモンセンター・ポケモンストアセット)(未開封BOX),"¥45,000"
拡張パック『禁断の光』(未開封BOX),"¥42,000"
強化拡張パック『スカイレジェンド』(未開封BOX),"¥42,000"
クララ＆セイボリーセット(未開封BOX),"¥42,000"
強化拡張パック『リミックスバウト』(未開封BOX),"¥40,000"
拡張パック『ダブルブレイズ』(未開封BOX),"¥36,000"
強化拡張パック『ウルトラフォース』(未開封BOX),"¥35,000"
強化拡張パック『ナイトユニゾン』(未開封BOX),"¥35,000"
拡張パック『ソード』(未開封BOX),"¥35,000"
ルリナセット(未開封BOX),"¥35,000"
30枚デッキ対戦セット「サトシVSロケット団」(未開封BOX),"¥35,000"
拡張パック『ウルトラサン』(未開封BOX),"¥34,000"
強化拡張パック『迅雷スパーク』(未開封BOX),"¥34,000"
プレシャスコレクターボックスソード&シールド(未開封BOX),"¥31,000"
拡張パック『オルタージェネシス』(未開封BOX),"¥30,000"
拡張パック『反逆クラッシュ』(未開封BOX),"¥29,000"
強化拡張パック『フェアリーライズ』(未開封BOX),"¥28,000"
白銀のランス＆漆黒のガイスト(ポケモンセンター・ポケモンストアセット)(未開封BOX),"¥28,000"
海外/5周年記念ギフトBOX(中国繁体字版)(未開封BOX),"¥27,000"
強化拡張パック『ジージーエンド』(未開封BOX),"¥26,000"
拡張パック『連撃マスター』(未開封BOX),"¥26,000"
「オコヤの森のセレビィ&ザルード」セブンイレブンセット(未開封BOX),"¥25,000"
強化拡張パック『ダークオーダー』(未開封BOX),"¥25,000"
強化拡張パック『フルメタルウォール』(未開封BOX),"¥25,000"
拡張パック『ムゲンゾーン』(未開封BOX),"¥25,000"
カメックスメガバトル スペシャルパック(未開封BOX),"¥22,000"
強化拡張パック『爆炎ウォーカー』(未開封BOX),"¥22,000"
拡張パック『一撃マスター』(未開封BOX),"¥21,000"
拡張パック『25th ANNIVERSARY COLLECTION』(未開封BOX),"¥21,000"
ポケモンワールドチャンピオンシップス2023横浜 記念デッキ『ピカチュウ』(未開封BOX),"¥21,000"
強化拡張パック『伝説の鼓動』(未開封BOX),"¥20,000"
強化拡張パック『双璧のファイター』(未開封BOX),"¥20,000"
ムービースペシャルパック『名探偵ピカチュウ』(未開封BOX),"¥19,000"
拡張パック『ロストアビス』(未開封BOX),"¥19,000"
強化拡張パック『ポケモンカード151』(未開封BOX),"¥19,000"
『VMAXスペシャルセット イーブイヒーローズ』(未開封BOX),"¥18,000"
みんなのWAKUWAKUバトル(未開封BOX),"¥18,000"
オメガルビー・アルファサファイア 発売記念「スペシャルパック MディアンシーEX」(未開封BOX),"¥18,000"
拡張パック『仰天のボルテッカー』(未開封BOX),"¥18,000"
拡張パック『フュージョンアーツ』(未開封BOX),"¥17,000"
ハイクラスパック『VMAXクライマックス』(未開封BOX),"¥17,000"
拡張パック『漆黒のガイスト』(未開封BOX),"¥15,000"
「ミュウツーの逆襲 EVOLUTION」特別前売券付きセブン-イレブン限定セット(未開封BOX),"¥15,000"
スペシャルセット　ピカチュウ2018(未開封BOX),"¥14,000"
ハイクラスパック『シャイニースターV』(未開封BOX),"¥13,000"
ハイクラスパック 『VSTARユニバース』(未開封BOX),"¥13,000"
スノーハザード&クレイバースト(ポケモンセンター・ジムセット)(未開封BOX),"¥13,000"
拡張パック『スターバース』(未開封BOX),"¥12,000"
拡張パック『白銀のランス』(未開封BOX),"¥11,000"
拡張パック『摩天パーフェクト』(未開封BOX),"¥11,000"
『VMAXスペシャルセット』(未開封BOX),"¥10,000"
拡張パック『タイムゲイザー』(未開封BOX),"¥10,000"
拡張パック『スペースジャグラー』(未開封BOX),"¥9,000"
拡張パック『パラダイムトリガー』(未開封BOX),"¥9,000"
強化拡張パック『トリプレットビート』(未開封BOX),"¥9,000"
ハイクラスパック『テラスタルフェスex』(未開封BOX),"¥9,000"
拡張パック『黒炎の支配者』(未開封BOX),"¥8,500"
拡張パック『クレイバースト』(未開封BOX),"¥8,200"
強化拡張パック『ダークファンタズマ』(未開封BOX),"¥8,000"
プレミアムトレーナーボックス『RENGEKI』(未開封BOX),"¥8,000"
強化拡張パック『バトルリージョン』(未開封BOX),"¥7,500"
強化拡張パック『Pokemon GO』(未開封BOX),"¥7,500"
プレミアムトレーナーボックス『ICHIGEKI』(未開封BOX),"¥7,500"
強化拡張パック『白熱のアルカナ』(未開封BOX),"¥6,500"
強化拡張パック『レイジングサーフ』(未開封BOX),"¥6,500"
ハイクラスパック『シャイニートレジャーex』(未開封BOX),"¥6,500"
強化拡張パック『クリムゾンヘイズ』(未開封BOX),"¥6,500"
強化拡張パック『楽園ドラゴーナ』(未開封BOX),"¥6,500"
拡張パック『スカーレットex』(未開封BOX),"¥6,200"
コンゴウ団スペシャルセット(未開封BOX),"¥6,000"
拡張パック『変幻の仮面』(未開封BOX),"¥6,000"
拡張パック『超電ブレイカー』(未開封BOX),"¥6,000"
拡張パック『ワイルドフォース』(未開封BOX),"¥5,800"
プレミアムトレーナーボックス『VSTAR』(未開封BOX),"¥5,500"
拡張パック『バイオレットex』(未開封BOX),"¥5,500"
バトル強化セット 草/闘(未開封BOX),"¥5,000"
バトル強化セット 炎/雷(未開封BOX),"¥5,000"
バトル強化セット 水/超(未開封BOX),"¥5,000"
拡張パック『古代の咆哮』(未開封BOX),"¥5,000"
拡張パック『サイバージャッジ』(未開封BOX),"¥5,000"
拡張パック『スノーハザード』(未開封BOX),"¥4,800"
拡張パック『未来の一閃』(未開封BOX),"¥4,800"
Vスペシャルセット「反逆クラッシュ」(未開封BOX),"¥4,500"
『VSTARスペシャルセット』(未開封BOX),"¥4,500"
シンジュ団スペシャルセット(未開封BOX),"¥4,500"
強化拡張パック『ナイトワンダラー』(未開封BOX),"¥4,500"
拡張パック『ステラミラクル』(未開封BOX),"¥4,500"
Pokemon GO スペシャルセット(未開封BOX),"¥3,500"
トリプルスターターセットV(未開封BOX),"¥2,500"
exスペシャルセット(未開封BOX),"¥2,500"
スターターセットex『ピカチュウスペシャルセット』(未開封BOX),"¥2,500"
スペシャルセット　スターターセットV炎(未開封BOX),"¥2,500"
デッキビルドBOX『黒炎の支配者』(未開封BOX),"¥2,200"
スターターセット テラスタイプ「ステラ ニンフィアex」(未開封BOX),"¥2,100"
スターターセット テラスタイプ「ステラ ソウブレイズex」(未開封BOX),"¥2,100"
デッキビルドBOX『ステラミラクル』(未開封BOX),"¥1,800"
Pokemon GO カードファイルセット(未開封BOX),"¥1,500"
ピカチュウと新しい仲間たち(SM0)(未開封BOX),"¥1,500"
バトルマスターデッキ 『テラスタル リザードンex』(未開封BOX),"¥1,200"
スターターデッキ＆ビルドセット『古代のコライドンex』(未開封BOX),"¥1,000"
スターターデッキ＆ビルドセット『未来のミライドンex』(未開封BOX),"¥1,000"
スペシャルジャンボカードセット オーガポン(未開封BOX),"¥1,000"
バトルマスターデッキ 『パオジアンex』(未開封BOX),¥700
